BJD,Magnitude,Uncertainty
2454759.26725265,10.39,0.02
2454759.26871256,10.41,0.02
2454759.270002481,10.4,0.02
2454759.271262404,10.41,0.02
2454759.272512327,10.42,0.02
2454759.27377225,10.43,0.02
2454759.275032172,10.43,0.02
2454759.276282096,10.43,0.02
2454759.277422026,10.44,0.02
2454759.2785319583,10.45,0.02
2454759.2796618883,10.44,0.02
2454759.28077182,10.45,0.02
2454759.281891752,10.45,0.02
2454759.2830116833,10.46,0.02
2454759.284131614,10.46,0.02
2454759.2852515457,10.46,0.02
2454759.286381477,10.47,0.02
2454759.287531406,10.47,0.02
2454759.288651337,10.48,0.02
2454759.289771269,10.48,0.02
2454759.2908912,10.49,0.02
2454759.292011131,10.49,0.02
2454759.293131063,10.5,0.02
2454759.294250994,10.5,0.02
2454759.295370926,10.51,0.02
2454759.296490857,10.52,0.02
2454759.297600789,10.51,0.02
2454759.29872072,10.52,0.02
2454759.299840652,10.53,0.02
2454759.300960583,10.54,0.02
2454759.302080514,10.54,0.02
2454759.303190446,10.54,0.02
2454759.304310378,10.55,0.02
2454759.305430309,10.55,0.02
2454759.306550241,10.56,0.02
2454759.307670172,10.55,0.02
2454759.308790103,10.56,0.02
2454759.3099100343,10.57,0.02
2454759.311029966,10.57,0.02
2454759.3121498968,10.57,0.02
2454759.313269829,10.58,0.02
2454759.3143997593,10.58,0.02
2454759.315639684,10.58,0.02
2454759.316889607,10.59,0.02
2454759.318169529,10.59,0.02
2454759.319429451,10.59,0.02
2454759.320649377,10.59,0.02
2454759.3218793008,10.6,0.02
2454759.323129225,10.6,0.02
2454759.324359149,10.61,0.02
2454759.325599073,10.61,0.02
2454759.326848997,10.61,0.02
2454759.32809892,10.62,0.02
2454759.329348844,10.62,0.02
2454759.330608767,10.63,0.02
2454759.33185869,10.63,0.02
2454759.333088615,10.64,0.02
2454759.335028496,10.64,0.02
2454759.3398382016,10.65,0.02
2454759.341758084,10.66,0.02
2454759.3445379133,10.65,0.02
2454759.345657845,10.65,0.02
2454759.3468177733,10.65,0.02
2454759.3479877017,10.66,0.02
2454759.34915763,10.66,0.02
2454759.35030756,10.66,0.02
2454759.351487488,10.66,0.02
2454759.3526874143,10.67,0.02
2454759.353917338,10.66,0.02
2454759.355057268,10.66,0.02
2454759.3561872,10.67,0.02
2454759.35730713,10.67,0.02
2454759.358417063,10.67,0.02
2454759.359536995,10.67,0.02
2454759.360656926,10.68,0.02
2454759.3617768567,10.68,0.02
2454759.3630767767,10.69,0.02
2454759.364206709,10.68,0.02
2454759.3653266393,10.68,0.02
2454759.366446571,10.69,0.02
2454759.3675665017,10.69,0.02
2454759.368686434,10.7,0.02
2454759.369806365,10.69,0.02
2454759.3709162967,10.7,0.02
2454759.372046228,10.7,0.02
2454759.37315616,10.69,0.02
2454759.374276091,10.69,0.02
2454759.375396023,10.7,0.02
2454759.3765159543,10.71,0.02
2454759.377625885,10.71,0.02
2454759.3787458166,10.72,0.02
2454759.3798657483,10.72,0.02
2454759.38098568,10.72,0.02
2454759.382105611,10.72,0.02
2454759.38325554,10.72,0.02
2454759.384375472,10.72,0.02
2454759.3854954033,10.73,0.02
2454759.386615335,10.73,0.02
2454759.387735266,10.73,0.02
2454759.3888451983,10.74,0.02
2454759.38996513,10.74,0.02
2454759.39109506,10.75,0.02
2454759.39222499,10.75,0.02
2454759.393354921,10.76,0.02
2454759.3944748533,10.76,0.02
2454759.395704777,10.76,0.02
2454759.396874705,10.76,0.02
2454759.398004636,10.77,0.02
2454759.3991145683,10.77,0.02
2454759.400234499,10.77,0.02
2454759.401424426,10.78,0.02
2454759.402714347,10.78,0.02
2454759.40397427,10.79,0.02
2454759.405234192,10.79,0.02
2454759.406484116,10.79,0.02
2454759.407744038,10.79,0.02
2454759.409003961,10.8,0.02
2454759.410263884,10.8,0.02
2454759.411523806,10.81,0.02
2454759.412773729,10.81,0.02
2454759.414043652,10.82,0.02
2454759.415293575,10.82,0.02
2454759.416763485,10.82,0.02
2454759.418023407,10.82,0.02
2454759.4194133217,10.83,0.02
2454759.42074324,10.83,0.02
2454759.421993163,10.83,0.02
2454759.423283084,10.84,0.02
2454759.424792991,10.84,0.02
2454759.426212905,10.84,0.02
2454759.427492826,10.85,0.02
2454765.302169378,10.85,0.01
2454765.30827897,10.85,0.01
2454765.309158911,10.85,0.01
2454765.31007885,10.86,0.01
2454765.31097879,10.86,0.02
2454765.3119287267,10.86,0.02
2454765.312838665,10.87,0.02
2454765.313748605,10.86,0.02
2454765.314618547,10.86,0.02
2454765.3155084867,10.86,0.02
2454765.316438425,10.87,0.02
2454765.317358364,10.87,0.02
2454765.318238304,10.88,0.02
2454765.319158243,10.87,0.02
2454765.3200581833,10.88,0.02
2454765.320958123,10.88,0.02
2454765.3218580633,10.88,0.02
2454765.322748004,10.88,0.02
2454765.323607946,10.89,0.02
2454765.324517885,10.89,0.02
2454765.325417825,10.9,0.02
2454765.3262777682,10.9,0.02
2454765.327167708,10.9,0.02
2454765.328007652,10.91,0.02
2454765.328877594,10.9,0.02
2454765.3297875333,10.91,0.02
2454765.330697473,10.9,0.02
2454765.331597412,10.91,0.02
2454765.332457355,10.9,0.02
2454765.3333272967,10.9,0.02
2454765.334237236,10.91,0.02
2454765.335127176,10.92,0.02
2454765.336037115,10.92,0.02
2454765.336927056,10.93,0.02
2454765.337836995,10.92,0.02
2454765.3387069367,10.93,0.02
2454765.3396268757,10.93,0.02
2454765.340516816,10.93,0.02
2454765.341416756,10.93,0.02
2454765.342266699,10.94,0.02
2454765.343176639,10.93,0.02
2454765.3440865767,10.93,0.02
2454765.344986517,10.94,0.02
2454765.345886457,10.94,0.02
2454765.346806396,10.94,0.02
2454765.347696336,10.94,0.02
2454765.348606276,10.95,0.02
2454765.349516214,10.95,0.02
2454765.350416155,10.94,0.02
2454765.351336093,10.94,0.02
2454765.3522560317,10.94,0.02
2454765.353195969,10.95,0.02
2454765.3540959093,10.95,0.02
2454765.355005848,10.95,0.02
2454765.3559157867,10.95,0.02
2454765.356865723,10.96,0.02
2454765.357775663,10.96,0.02
2454765.358685602,10.96,0.02
2454765.3596255393,10.96,0.02
2454765.360565476,10.96,0.02
2454765.3614954143,10.96,0.02
2454765.362405353,10.96,0.02
2454765.3633152917,10.96,0.02
2454765.364265229,10.96,0.02
2454765.365165168,10.96,0.02
2454765.3660751083,10.95,0.02
2454765.367005046,10.96,0.02
2454765.367934983,10.96,0.02
2454765.368844923,10.95,0.02
2454765.3697648607,10.95,0.02
2454765.370694799,10.94,0.02
2454765.3716347357,10.94,0.02
2454765.3725846717,10.94,0.02
2454765.373494612,10.94,0.02
2454765.374404551,10.93,0.02
2454765.375354487,10.93,0.02
2454765.375654467,10.92,0.02
2454765.37606444,10.92,0.02
2454765.37650441,10.92,0.02
2454765.376944381,10.91,0.02
2454765.377414349,10.91,0.02
2454765.377894318,10.91,0.02
2454765.378334288,10.9,0.02
2454765.378784258,10.91,0.02
2454765.379244227,10.9,0.02
2454765.379684198,10.9,0.02
2454765.3801441668,10.9,0.02
2454765.380624135,10.9,0.02
2454765.381064105,10.9,
2454765.381534074,10.89,0.02
2454765.381994043,10.88,0.02
2454765.382444013,10.88,0.02
2454765.3828939833,10.87,0.02
2454765.383363951,10.87,0.02
2454765.383813921,10.86,0.02
2454765.3843038892,10.86,0.02
2454765.38474386,10.85,0.02
2454765.385183829,10.85,0.02
2454765.385643799,10.84,0.02
2454765.386113768,10.84,0.02
2454765.386573737,10.83,0.02
2454765.387023706,10.83,0.02
2454765.387453678,10.82,0.02
2454765.3879236467,10.81,0.02
2454765.388393615,10.81,0.02
2454765.388843585,10.8,0.02
2454765.389293555,10.79,0.02
2454765.389763523,10.78,0.02
2454765.39025349,10.76,0.02
2454765.390733458,10.76,0.02
2454765.391183428,10.76,0.02
2454765.3916533967,10.74,0.02
2454765.392103367,10.73,0.02
2454765.392573335,10.72,0.02
2454765.393013305,10.71,0.02
2454765.393463276,10.7,0.02
2454765.393933244,10.69,0.02
2454765.394383214,10.68,0.02
2454765.394813186,10.66,0.02
2454765.395273155,10.65,0.02
2454765.395753122,10.64,0.02
2454765.396223091,10.62,0.02
2454765.39669306,10.61,0.02
2454765.39713303,10.59,0.02
2454765.3976129983,10.57,0.02
2454765.3980629668,10.56,0.02
2454765.398552935,10.54,0.02
2454765.399012904,10.54,0.02
2454765.399502871,10.53,0.02
2454765.39997284,10.53,0.02
2454765.400442808,10.49,0.02
2454765.4008927783,10.5,0.02
2454765.401352747,10.48,0.02
2454765.401822716,10.46,0.02
2454765.402312683,10.45,0.02
2454765.4027926507,10.43,0.02
2454765.403272619,10.41,0.02
2454765.403742588,10.39,0.02
2454765.404222555,10.38,0.02
2454765.4047025233,10.36,0.02
2454765.405172492,10.34,0.02
2454765.405632461,10.34,0.02
2454765.40608243,10.33,0.02
2454765.406552399,10.33,0.02
2454765.407032367,10.31,0.02
2454765.4074823367,10.29,0.02
2454765.4079423067,10.28,0.02
2454765.408402275,10.27,0.02
2454765.408862244,10.25,0.02
2454765.409342213,10.24,0.02
2454765.4098021816,10.22,0.02
2454765.410262151,10.23,0.02
2454765.410712121,10.23,0.02
2454765.411192088,10.21,0.02
2454765.411652058,10.19,0.02
2454765.412112027,10.17,0.02
2454765.412601994,10.17,0.02
2454765.413071963,10.15,0.02
2454765.413521932,10.14,0.02
2454765.413971902,10.11,0.02
2454765.414441871,10.11,0.02
2454765.41490184,10.1,0.02
2454765.415361809,10.07,0.02
2454765.415811779,10.08,0.02
2454765.416271748,10.06,0.02
2454765.416761715,10.05,0.02
2454765.417241683,10.04,0.02
2454765.417711651,10.02,0.02
2454765.41819162,10.02,0.02
2454765.418671587,10.02,0.02
2454765.419141556,10.0,0.02
2454765.419601525,10.0,0.02
2454765.420071493,9.99,0.02
2454765.420501465,9.98,0.02
2454765.420931436,9.98,0.02
2454765.421411403,9.98,0.02
2454765.4218813716,9.97,0.02
2454765.422331342,9.97,0.02
2454765.422771312,9.96,0.02
2454765.4232612792,9.95,0.02
2454765.423841241,9.94,0.02
2454765.424401203,9.93,0.02
2454765.4253111416,9.94,0.02
2454765.42623108,9.93,0.02
2454765.427171018,9.94,0.02
2454765.428070957,9.93,0.02
2454765.428970897,9.93,0.02
2454765.429840838,9.94,0.02
2454765.430760777,9.94,0.02
2454765.431690714,9.94,0.02
2454765.4326006533,9.95,0.02
2454766.259353923,10.21,0.02
2454766.2651235317,10.24,0.02
2454766.2679033442,10.26,0.02
2454766.268953273,10.26,0.02
2454766.270003202,10.27,0.02
2454766.271043131,10.27,0.02
2454766.27209306,10.28,0.02
2454766.273262981,10.28,0.02
2454766.274402904,10.29,0.02
2454766.275442834,10.3,0.02
2454766.276492762,10.31,0.02
2454766.2775426907,10.31,0.02
2454766.27859262,10.32,0.02
2454766.27963255,10.32,0.02
2454766.280682479,10.33,0.02
2454766.2817224083,10.32,0.02
2454766.282862331,10.33,0.02
2454766.284122246,10.34,0.02
2454766.285292166,10.35,0.02
2454766.2863520943,10.36,0.02
2454766.287402024,10.36,0.02
2454766.288451952,10.37,0.02
2454766.289631873,10.38,0.02
2454766.2907517967,10.38,0.02
2454766.291831724,10.38,0.02
2454766.292941649,10.39,0.02
2454766.2939915783,10.38,0.02
2454766.295101502,10.4,0.02
2454766.296251424,10.4,0.02
2454766.2991512283,10.42,0.02
2454766.3015110693,10.43,0.02
2454766.302580996,10.43,0.02
2454766.303670922,10.44,0.02
2454766.304790847,10.44,0.02
2454766.3059007707,10.45,0.02
2454766.306980698,10.46,0.02
2454766.3081106218,10.47,0.02
2454766.309240546,10.46,0.02
2456572.330249493,10.83,0.006999999999999999
2456572.330939461,10.835999999999999,0.006999999999999999
2456572.3313394417,10.839,0.006999999999999999
2456572.331729424,10.833,0.006999999999999999
2456572.3321194057,10.847999999999999,0.006999999999999999
2456572.332519387,10.845,0.006999999999999999
2456572.332909368,10.838,0.006999999999999999
2456572.33330935,10.841,0.006999999999999999
2456572.3337093308,10.843,0.006999999999999999
2456572.3340993132,10.847000000000001,0.006999999999999999
2456572.334499294,10.852,0.006999999999999999
2456572.334889275,10.850999999999999,0.006999999999999999
2456572.335279258,10.847000000000001,0.006999999999999999
2456572.335679239,10.850999999999999,0.006999999999999999
2456572.33606922,10.853,0.006999999999999999
2456572.3364592018,10.860999999999999,0.006999999999999999
2456572.336859183,10.86,0.006999999999999999
2456572.337249165,10.850999999999999,0.006999999999999999
2456572.337649146,10.854000000000001,0.006999999999999999
2456572.338049128,10.857000000000001,0.006999999999999999
2456572.3384391093,10.862,0.006999999999999999
2456572.33883909,10.864,0.006999999999999999
2456572.339229072,10.86,0.006999999999999999
2456572.339619054,10.866,0.006999999999999999
2456572.340019035,10.866,0.006999999999999999
2456572.3404090167,10.866,0.006999999999999999
2456572.3408089983,10.875,0.006999999999999999
2456572.34119898,10.862,0.006999999999999999
2456572.341598961,10.867,0.006999999999999999
2456572.3419989417,10.867,0.006999999999999999
2456572.342388924,10.869000000000002,0.006999999999999999
2456572.342778905,10.87,0.006999999999999999
2456572.343178886,10.865,0.006999999999999999
2456572.343568868,10.87,0.006999999999999999
2456572.34395885,10.866,0.006999999999999999
2456572.3443588307,10.875,0.006999999999999999
2456572.344748813,10.866,0.006999999999999999
2456572.345158794,10.872,0.006999999999999999
2456572.345548776,10.869000000000002,0.006999999999999999
2456572.3459487567,10.869000000000002,0.006999999999999999
2456572.3463487383,10.87,0.006999999999999999
2456572.346738719,10.868,0.006999999999999999
2456572.347128701,10.876,0.006999999999999999
2456572.347528683,10.876,0.006999999999999999
2456572.347918665,10.879000000000001,0.006999999999999999
2456572.3483186457,10.870999999999999,0.006999999999999999
2456572.348708627,10.879000000000001,0.006999999999999999
2456572.3490986093,10.882,0.006999999999999999
2456572.34949859,10.884,0.006999999999999999
2456572.349888572,10.878,0.006999999999999999
2456572.350288553,10.879000000000001,0.006999999999999999
2456572.350688534,10.879000000000001,0.006999999999999999
2456572.351078516,10.886,0.006999999999999999
2456572.3514684984,10.884,0.006999999999999999
2456572.35186848,10.882,0.006999999999999999
2456572.352258461,10.882,0.006999999999999999
2456572.3526584418,10.886,0.006999999999999999
2456572.3530484242,10.884,0.006999999999999999
2456572.353438405,10.886,0.006999999999999999
2456572.353838386,10.88,0.006999999999999999
2456572.354228368,10.882,0.006999999999999999
2456572.35462835,10.889000000000001,0.006999999999999999
