BJD,Magnitude,Uncertainty
2453538.799655372,9.696,0.008
2453538.802655648,9.687999999999999,0.008
2453538.805655923,9.673,0.008
2453538.808656199,9.662,0.008
2453538.811656475,9.654,0.008
2453538.8143567233,9.645,0.008
2453538.816756944,9.641,0.008
2453538.819257173,9.641,0.008
2453538.821757403,9.634,0.008
2453538.824157624,9.634,0.008
2453538.826557844,9.634,0.008
2453538.829058074,9.63,0.008
2453538.831558303,9.622,0.008
2453538.834058533,9.617,0.008
2453538.8364587533,9.624,0.008
2453538.8389589833,9.625,0.008
2453538.841359203,9.627,0.008
2453538.843859433,9.63,0.008
2453538.846259653,9.627,0.008
2453538.848659873,9.631,0.008
2453538.851160103,9.64,0.008
2453538.853560322,9.634,0.008
2453538.856060552,9.638,0.008
2453669.5119676357,9.65,0.008
2453669.513867518,9.943,0.005
2453669.515867394,9.916,0.005
2453669.517867269,9.885,0.005
2453669.5199671392,9.862,0.005
2453669.521967014,9.839,0.005
2453669.524966828,9.832,0.005
2453669.526966703,9.814,0.005
2453669.528966578,9.802,0.005
2453669.530966454,9.801,0.005
2453669.5329663293,9.793,0.005
2453669.534966204,9.785,0.005
2453669.536966079,9.779,0.005
2453669.538965955,9.781,0.005
2453669.541065824,9.77,0.005
2453669.5430656993,9.761000000000001,0.005
2453669.545065574,9.757,0.005
2453669.547065449,9.742,0.005
2453669.549065325,9.726,0.005
2453669.551565168,9.71,0.005
2453669.553165069,9.697000000000001,0.005
2453669.554864963,9.681000000000001,0.005
2453669.556564856,9.677999999999999,0.005
2453669.558364744,9.657,0.005
2453669.560064637,9.652000000000001,0.005
2453669.561864525,9.635,0.005
2453669.5635644183,9.632,0.005
2453669.565364305,9.626,0.005
2453669.567064199,9.616,0.005
2453669.568764092,9.613999999999999,0.005
2453669.57056398,9.605,0.005
2453669.571863899,9.607000000000001,0.005
2453669.573163818,9.595,0.005
2453669.57456373,9.595,0.005
2453669.575863648,9.592,0.005
2453669.577163566,9.591000000000001,0.005
2453669.578463485,9.591000000000001,0.005
2453669.579763404,9.585,0.005
2453669.581163316,9.58,0.005
2453669.582463234,9.589,0.005
2453669.5837631533,9.583,0.005
2453669.585063071,9.582,0.005
2453669.586462983,9.581,0.005
2453669.587762902,9.587,0.005
2453669.589062821,9.579,0.005
2453669.5903627384,9.586,0.005
2453669.5917626508,9.588,0.005
2453669.593062569,9.591000000000001,0.005
2453669.594362488,9.591000000000001,0.005
2453669.5956624057,9.59,0.005
2453669.597062318,9.588,0.005
2453669.598362236,9.599,0.005
2453669.599662154,9.594,0.005
2453669.600962073,9.605,0.005
2453669.602261991,9.607999999999999,0.005
2453669.603661903,9.605,0.005
2453669.604961821,9.601,0.005
2453669.606261739,9.613999999999999,0.005
2453669.607561658,9.61,0.005
2453669.608861576,9.613999999999999,0.005
2453669.6102614882,9.611,0.005
2453669.611561406,9.623,0.005
2453669.612861324,9.623,0.005
2453669.614161242,9.621,0.005
2453669.61546116,9.633,0.005
2453669.616861072,9.635,0.005
2453669.61816099,9.638,0.005
2453669.619460908,9.641,0.005
2453669.62086082,9.642000000000001,0.005
2453669.622160737,9.648,0.005
2453669.623460656,9.646,0.005
2453669.624760574,9.655,0.005
2453669.626160486,9.658999999999999,0.005
2453669.627460404,9.658999999999999,0.005
2453669.628760321,9.665,0.005
2453669.630060239,9.672,0.005
2453669.631460151,9.668,0.005
2453669.632760069,9.671,0.005
2453669.634059987,9.679,0.005
2453669.6353599043,9.677,0.005
2453669.636659822,9.682,0.005
2453669.638059734,9.687999999999999,0.005
2453669.639359652,9.687999999999999,0.005
2453669.64065957,9.69,0.005
2453669.641959488,9.683,0.005
2453669.643359399,9.693999999999999,0.005
2453669.644659317,9.701,0.005
2453669.645959234,9.699,0.005
2453669.647259152,9.696,0.005
2453678.503954322,9.703,0.005
2453678.506854112,9.8,0.005
2453678.509553916,9.78,0.005
2453678.512153727,9.77,0.005
2453678.514253575,9.77,0.005
2453678.51625343,9.73,0.005
2453678.518253285,9.71,0.005
2453678.520653111,9.7,0.005
2453678.5227529593,9.69,0.005
2453678.524752814,9.67,0.005
2453678.526752668,9.66,0.005
2453678.528652531,9.64,0.005
2453678.530652386,9.63,0.005
2453678.5325522483,9.63,0.005
2453678.53445211,9.62,0.005
2453678.536351971,9.62,0.005
2453678.538351826,9.6,0.005
2453678.540251688,9.59,0.005
2453678.54215155,9.59,0.005
2453678.544151404,9.58,0.005
2453678.546051267,9.58,0.005
2453678.5479511283,9.57,0.005
2453678.549950982,9.57,0.005
2453678.551850844,9.57,0.005
2453678.553850699,9.56,0.005
2453678.55575056,9.56,0.005
2453678.557750415,9.55,0.005
2453678.560250233,9.56,0.005
2453678.562250087,9.58,0.005
2453678.564249941,9.58,0.005
2453678.5661498033,9.58,0.005
2453678.568049664,9.58,0.005
2453678.569949526,9.58,0.005
2453678.57194938,9.59,0.005
2453678.573849241,9.59,0.005
2453678.575849095,9.58,0.005
2453678.577748957,9.59,0.005
2453678.5796488184,9.61,0.005
2453678.581648672,9.61,0.005
2453678.58344854,9.61,0.005
2453678.5853484017,9.61,0.005
2453678.587248263,9.62,0.005
2453678.589148124,9.62,0.005
2453678.5911479783,9.62,0.005
2453678.593047839,9.63,0.005
2453678.5950476932,9.64,0.005
2453678.596947554,9.63,0.005
2453678.598947408,9.64,0.005
2453678.600847268,9.64,0.005
2453678.6028471217,9.65,0.005
2453678.604746983,9.66,0.005
2453678.606646844,9.66,0.005
2453678.608646697,9.66,0.005
2453678.610546558,9.67,0.005
2453678.612446419,9.67,0.005
2453678.6144462717,9.68,0.005
2453678.616346133,9.68,0.005
2453678.618245994,9.69,0.005
2453678.620245847,9.69,0.005
2453678.622145707,9.69,0.005
2453678.624145561,9.7,0.005
2453678.6260454217,9.7,0.005
2453678.627945282,9.7,0.005
2453678.6298451433,9.71,0.005
2453678.631745003,9.72,0.005
2453678.633744856,9.72,0.005
2453678.6356447167,9.72,0.005
2453678.637644569,9.72,0.005
2454001.526410896,9.73,0.005
2454001.527210885,10.158999999999999,0.006999999999999999
2454001.528010874,10.142000000000001,0.006999999999999999
2454001.528810862,10.156,0.006
2454001.52961085,10.138,0.006
2454001.5304108392,10.118,0.006999999999999999
2454001.5312108267,10.118,0.006
2454001.532010815,10.128,0.006
2454001.532810804,10.106,0.006
2454001.533610792,10.102,0.006
2454001.53441078,10.095,0.006
2454001.535210769,10.079,0.006
2454001.536110756,10.078,0.006
2454001.536910744,10.082,0.006
2454001.537710732,10.062999999999999,0.006
2454001.5385107207,10.058,0.006
2454001.539310709,10.039,0.006
2454001.540110698,10.033999999999999,0.006
2454001.540910686,10.027999999999999,0.006
2454001.541710674,10.013,0.006
2454001.542510663,10.005,0.006
2454001.543310651,9.985,0.006
2454001.544110639,9.972000000000001,0.006
2454001.5449106283,9.954,0.006
2454001.545710616,9.956,0.006
2454001.546610603,9.955,0.006
2454001.547310593,9.943999999999999,0.006
2454001.548110581,9.934,0.006
2454001.549010567,9.924,0.006
2454001.5498105558,9.907,0.006
2454001.550610544,9.895,0.006
2454001.551410533,9.883,0.006
2454001.552210521,9.899,0.005
2454001.553010509,9.868,0.006
2454001.553810498,9.87,0.005
2454001.554610486,9.876,0.005
2454001.555410474,9.863,0.006
2454001.556210462,9.841000000000001,0.005
2454001.557010451,9.836,0.006
2454001.5578104393,9.84,0.005
2454001.558610428,9.835,0.005
2454001.559410416,9.822000000000001,0.005
2454001.560210404,9.818999999999999,0.005
2454001.561010392,9.81,0.005
2454001.56181038,9.812000000000001,0.005
2454001.562610369,9.805,0.005
2454001.563410357,9.804,0.005
2454001.564210346,9.792,0.005
2454001.565010333,9.806000000000001,0.005
2454001.565810322,9.795,0.005
2454001.56661031,9.791,0.005
2454001.567510297,9.791,0.005
2454001.568310285,9.788,0.005
2454001.569110273,9.781,0.005
2454001.569910262,9.776,0.005
2454001.57071025,9.781,0.005
2454001.571510238,9.777000000000001,0.005
2454001.572310226,9.762,0.005
2454001.573110214,9.779,0.005
2454001.573910202,9.765,0.005
2454001.5747101908,9.764,0.005
2454001.575510179,9.757,0.005
2454001.576310167,9.752,0.005
2454001.577110155,9.738,0.005
2454001.577910144,9.743,0.005
2454001.578710132,9.752,0.005
2454001.57951012,9.74,0.005
2454001.580310108,9.737,0.005
2454001.581110097,9.714,0.005
2454001.581910085,9.728,0.005
2454001.582710072,9.706,0.005
2454001.583510061,9.715,0.005
2454001.584310049,9.712,0.005
2454001.5851100367,9.697000000000001,0.005
2454001.585910026,9.691,0.005
2454001.586710013,9.683,0.005
2454001.587510002,9.683,0.005
2454001.58830999,9.67,0.005
2454001.589109978,9.675,0.005
2454001.589909966,9.652999999999999,0.005
2454001.590709955,9.655,0.005
2454001.591509942,9.652000000000001,0.005
2454001.59230993,9.642000000000001,0.005
2454001.5931099183,9.636000000000001,0.005
2454001.5939099067,9.625,0.005
2454001.594709895,9.622,0.005
2454001.595509883,9.616,0.005
2454001.596309871,9.607999999999999,0.005
2454001.597109859,9.597000000000001,0.005
2454001.597909847,9.584,0.005
2454001.598709835,9.594,0.004
2454001.599509824,9.582,0.004
2454001.600309812,9.574,0.004
2454001.6011098,9.576,0.004
2454001.601909787,9.562000000000001,0.004
2454001.602709775,9.566,0.004
2454001.603509764,9.558,0.004
2454001.6043097517,9.55,0.004
2454001.60510974,9.545,0.004
2454001.605909728,9.535,0.004
2454001.606709716,9.527999999999999,0.004
2454001.607509704,9.538,0.004
2454001.608309692,9.536,0.004
2454001.60910968,9.524,0.004
2454001.609909668,9.533,0.004
2454001.610709656,9.515,0.004
2454001.611509644,9.508,0.004
2454001.612309632,9.516,0.004
2454001.61310962,9.511000000000001,0.004
2454001.613909608,9.51,0.004
2454001.614709596,9.51,0.004
2454001.615509584,9.5,0.004
2454001.616309572,9.507,0.004
2454001.61710956,9.511000000000001,0.004
2454001.6179095483,9.493,0.004
2454001.618709536,9.496,0.004
2454001.619509524,9.503,0.004
2454001.6203095117,9.491,0.004
2454001.6211095,9.495,0.004
2454001.621909488,9.494,0.004
2454001.622709476,9.497,0.004
2454001.623509464,9.494,0.004
2454001.624309452,9.498,0.004
2454001.62510944,9.497,0.004
2454001.625909428,9.503,0.004
2454001.626709416,9.503,0.004
2454001.627509404,9.488,0.004
2454001.628309391,9.497,0.004
2454001.629109379,9.505,0.004
2454001.629909367,9.502,0.004
2454001.630709355,9.5,0.004
2454001.631509343,9.513,0.004
2454001.632309331,9.515,0.004
2454001.633109319,9.501,0.004
2454001.633909306,9.51,0.004
2454001.634709294,9.505,0.004
2454001.635509282,9.512,0.004
2454001.63630927,9.51,0.004
2454001.637109258,9.513,0.004
