BJD,Magnitude,Uncertainty
2458390.671715517,10.421,0.004
2458390.673875463,10.432,0.005
2458390.674955437,10.423,0.003
2458390.677125383,10.434000000000001,0.003
2458390.678205356,10.437000000000001,0.003
2458390.679285329,10.44,0.004
2458390.680365303,10.432,0.003
2458390.681445275,10.439,0.003
2458390.6825252483,10.450999999999999,0.003
2458390.683605222,10.456,0.003
2458390.684685195,10.446,0.003
2458390.685765169,10.444,0.003
2458390.686855141,10.462,0.003
2458390.687935114,10.445,0.003
2458390.690095061,10.47,0.003
2458390.6911750333,10.458,0.003
2458390.692265006,10.455,0.031
2458390.69335498,10.448,0.004
2458390.694434952,10.449000000000002,0.003
2458390.695514925,10.472999999999999,0.003
2458390.696594898,10.452,0.004
2458390.697674871,10.466,0.003
2458390.698754845,10.48,0.003
2458390.699834818,10.463,0.003
2458390.700914791,10.463,0.003
2458390.701994764,10.465,0.003
2458390.703074737,10.465,0.003
2458390.70414471,10.478,0.003
2458390.705234683,10.472999999999999,0.006999999999999999
2458390.706314655,10.464,0.003
2458390.7073946283,10.481,0.003
2458390.708474601,10.497,0.003
2458390.709554574,10.487,0.003
2458390.710634547,10.467,0.003
2458390.71171452,10.484000000000002,0.003
2458390.712794493,10.478,0.003
2458390.713874466,10.481,0.003
2458390.714954439,10.485,0.003
2458390.716034412,10.484000000000002,0.003
2458390.7171143843,10.488,0.003
2458390.7181943567,10.489,0.003
2458390.71927433,10.485999999999999,0.003
2458390.7203643033,10.491,0.003
2458390.721444275,10.495999999999999,0.003
2458390.722524248,10.497,0.003
2458390.723604221,10.485,0.003
2458390.7246941933,10.497,0.003
2458390.7257741657,10.491,0.003
2458390.726854139,10.489,0.003
2458390.727944111,10.497,0.003
2458390.7290240843,10.493,0.003
2458390.730094058,10.508,0.004
2458390.73117403,10.502,0.003
2458390.732264002,10.505,0.003
2458390.733343975,10.495999999999999,0.003
2458390.734423948,10.498,0.003
2458390.735503921,10.512,0.003
2458390.736583893,10.502,0.003
2458390.737663866,10.505,0.003
2458390.738743838,10.502,0.003
2458390.7398238108,10.515999999999998,0.003
2458390.740903784,10.514000000000001,0.003
2458390.741983757,10.527999999999999,0.003
2458390.7430637293,10.508,0.003
2458390.744143702,10.508,0.003
2458390.745223674,10.511,0.003
2458390.746303647,10.513,0.003
2458390.747383619,10.519,0.003
2458390.748463592,10.503,0.003
2458390.749543564,10.517999999999999,0.003
2458390.7506235368,10.533,0.003
2458390.75170351,10.517999999999999,0.003
2458390.752783482,10.517999999999999,0.004
2458390.753863454,10.519,0.004
2458390.7549434267,10.52,0.003
2458390.7560234,10.535,0.003
2458390.757103372,10.517000000000001,0.004
2458390.758183345,10.527000000000001,0.003
2458390.759263317,10.533,0.003
2458390.760343289,10.535,0.003
2458390.761423261,10.524000000000001,0.003
2458390.762503234,10.534,0.003
2458390.7635932057,10.522,0.003
2458390.764673179,10.527000000000001,0.004
2458390.765753151,10.538,0.004
2458390.766843123,10.532,0.003
2458390.767923095,10.529000000000002,0.003
2458390.768993068,10.546,0.003
2458390.77007304,10.544,0.003
2458390.771153013,10.526,0.004
2458390.772232985,10.530999999999999,0.003
2458390.773312957,10.539000000000001,0.003
2458390.774392929,10.540999999999999,0.003
2458390.775492901,10.540999999999999,0.003
2458390.7765728734,10.547,0.003
2458390.777662846,10.542,0.003
2458390.778742818,10.554,0.003
2458390.77982279,10.549000000000001,0.003
2458390.780902762,10.558,0.003
2458390.781982735,10.539000000000001,0.003
2458390.7830627067,10.548,0.01
2458390.78414268,10.542,0.003
