BJD,Magnitude,Uncertainty
2453691.493322879,10.07,0.005
2453691.493922847,10.075,0.005
2453691.49442282,10.058,0.005
2453691.495022788,10.065,0.005
2453691.495522761,10.052,0.005
2453691.496022734,10.036,0.005
2453691.496522707,10.04,0.005
2453691.49702268,10.048,0.005
2453691.4976226483,10.031,0.005
2453691.498122621,10.029,0.005
2453691.498622594,10.038,0.005
2453691.499122567,10.026,0.005
2453691.49962254,10.023,0.005
2453691.5002225083,10.021,0.005
2453691.50072248,10.031,0.005
2453691.501222454,10.002,0.005
2453691.501722427,9.994,0.005
2453691.5022224,10.007,0.005
2453691.502822367,9.995,0.005
2453691.503322341,10.0,0.005
2453691.503822314,9.996,0.005
2453691.5043222867,9.975,0.005
2453691.50482226,9.979,0.005
2453691.505422228,9.979,0.005
2453691.5059222,9.96,0.005
2453691.506422173,9.957,0.005
2453691.506922147,9.955,0.005
2453691.507522114,9.932,0.005
2453691.5080220867,9.93,0.005
2453691.50852206,9.927,0.005
2453691.5090220333,9.915,0.005
2453691.509522007,9.908999999999999,0.005
2453691.510121974,9.892000000000001,0.005
2453691.510621947,9.881,0.005
2453691.51112192,9.879,0.005
2453691.511621893,9.857999999999999,0.005
2453691.512121866,9.854,0.005
2453691.5127218342,9.832,0.005
2453691.513221807,9.83,0.005
2453691.51372178,9.802999999999999,0.005
2453691.514221753,9.796,0.005
2453691.514721726,9.774,0.005
2453691.515321694,9.767000000000001,0.005
2453691.515821667,9.761000000000001,0.005
2453691.51632164,9.744,0.005
2453691.516821613,9.722000000000001,0.005
2453691.517321586,9.721,0.005
2453691.517921553,9.693999999999999,0.005
2453691.518421527,9.683,0.005
2453691.5189215,9.658,0.005
2453691.519421473,9.652999999999999,0.005
2453691.5199214458,9.637,0.005
2453691.520521413,9.625,0.005
2453691.521021386,9.597000000000001,0.005
2453691.521521359,9.599,0.005
2453691.522021332,9.585,0.005
2453691.522521305,9.582,0.005
2453691.523121273,9.574,0.005
2453691.5236212458,9.562999999999999,0.005
2453691.5241212193,9.552,0.005
2453691.524821181,9.537,0.005
2453691.540220349,9.388,0.005
2453691.540620327,9.368,0.005
2453691.5411203,9.359,0.005
2453691.54242023,9.308,0.005
2453691.542920202,9.345,0.005
2453691.545420067,9.271,0.005
2453691.5467199967,9.271,0.005
2453691.547419959,9.267000000000001,0.005
2453691.547919932,9.261000000000001,0.005
2453691.548419905,9.254,0.005
2453691.548919878,9.245,0.005
2453691.549419851,9.24,0.005
2453691.550019818,9.227,0.005
2453691.550519791,9.225,0.005
2453691.551019764,9.215,0.005
2453691.5515197366,9.23,0.005
2453691.552119704,9.21,0.005
2453691.552619678,9.204,0.005
2453691.553119651,9.209,0.005
2453691.553619623,9.201,0.005
2453691.554119596,9.191,0.005
2453691.554719564,9.19,0.005
2453691.5552195366,9.195,0.005
2453691.5557195093,9.177,0.005
2453691.556219482,9.177999999999999,0.005
2453691.556719455,9.19,0.005
2453691.557319423,9.174,0.005
2453691.557819396,9.177999999999999,0.005
2453691.558319369,9.177,0.005
2453691.558819341,9.168,0.005
2453691.559319314,9.172,0.005
2453691.559919282,9.174,0.005
2453691.560419254,9.17,0.005
2453691.560919228,9.173,0.005
2453691.561419201,9.169,0.005
2453691.561919174,9.175,0.005
2453691.562519141,9.169,0.005
2453691.563019114,9.177,0.005
2453691.5635190867,9.187999999999999,0.005
2453691.564019059,9.163,0.005
2453691.564619027,9.17,0.005
2453691.565119,9.17,0.005
2453691.565618973,9.172,0.005
2453691.566118945,9.177999999999999,0.005
2453691.566618918,9.177,0.005
2453691.5672188858,9.181000000000001,0.005
2453718.589760656,10.072000000000001,0.005
2453718.590460595,10.066,0.005
2453718.591060543,10.067,0.005
2453718.59166049,10.066,0.005
2453718.592360429,10.058,0.005
2453718.5929603768,10.058,0.005
2453718.593660316,10.056000000000001,0.005
2453718.594260264,10.055,0.005
2453718.594860212,10.042,0.005
2453718.595560151,10.045,0.005
2453718.596160099,10.043,0.005
2453718.5967600467,10.036,0.005
2453718.597459986,10.031,0.005
2453718.598059934,10.026,0.005
2453718.598659881,10.019,0.005
2453718.59935982,10.015,0.005
2453718.5999597684,10.012,0.005
2453718.600559716,9.997,0.005
2453718.601259655,9.987,0.005
2453718.601859603,9.986,0.005
2453718.60245955,9.981,0.005
2453718.60315949,9.976,0.005
2453718.603759437,9.967,0.005
2453718.604459376,9.963,0.005
2453718.605059324,9.947000000000001,0.005
2453718.605659272,9.94,0.005
2453718.606359211,9.929,0.005
2453718.606959159,9.923,0.005
2453718.607559106,9.912,0.005
2453718.608259045,9.896,0.005
2453718.6088589933,9.883,0.005
2453718.609458941,9.872,0.005
2453718.61015888,9.857000000000001,0.005
2453718.610758828,9.847000000000001,0.005
2453718.611358775,9.827,0.005
2453718.612058714,9.811,0.005
2453718.612658662,9.797,0.005
2453718.613358601,9.78,0.005
2453718.613958549,9.766,0.005
2453718.614558496,9.753,0.005
2453718.615258435,9.722999999999999,0.005
2453718.615858383,9.703,0.005
2453718.61645833,9.686,0.005
2453718.617158269,9.668,0.005
2453718.617758217,9.654,0.005
2453718.618358165,9.628,0.005
2453718.6190581033,9.611,0.005
2453718.619658052,9.591000000000001,0.005
2453718.62035799,9.584,0.005
2453718.620957938,9.572000000000001,0.005
2453718.621557885,9.561,0.005
2453718.622257825,9.554,0.005
2453718.622857772,9.538,0.005
2453718.62345772,9.535,0.005
2453718.6241576592,9.527999999999999,0.005
2453718.624757606,9.524,0.005
2453718.6253575543,9.517999999999999,0.005
2453718.626057493,9.516,0.005
2453718.62665744,9.507,0.005
2453718.627257388,9.509,0.005
2453718.627957327,9.502,0.005
2453718.628557275,9.5,0.005
2453718.629157222,9.499,0.005
2453718.629857161,9.493,0.005
2453718.630457109,9.485,0.005
2453718.6311570466,9.479,0.005
2453718.631756995,9.471,0.005
2453718.632356943,9.465,0.005
2453718.633056881,9.454,0.005
2453718.63365683,9.447000000000001,0.005
2453718.634256777,9.442,0.005
2453718.634956716,9.427999999999999,0.005
2453718.635556663,9.422,0.005
2453718.636156611,9.415,0.005
2453718.636856549,9.407,0.005
2453718.6374564967,9.395,0.005
2453718.638056445,9.382,0.005
2453718.638756384,9.374,0.005
2453718.639356331,9.363999999999999,0.005
2453718.639956279,9.355,0.005
2453718.640656217,9.345,0.005
2453718.641256165,9.33,0.005
2453718.641956104,9.327,0.005
2453718.642556051,9.309,0.005
2453718.643155999,9.302999999999999,0.005
