JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2439144.571,10.3,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439144.585,10.2,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439144.598,10.0,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439144.608,10.2,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439144.622,10.2,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439144.638,10.2,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439148.543,9.7,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439148.551,9.5,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439148.563,9.2,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439148.576,9.1,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439148.587,9.0,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439148.599,9.1,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439148.624,9.2,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439148.658,9.4,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439150.536,9.9,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439151.520,9.8,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439151.565,9.8,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439151.584,9.8,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439151.601,9.8,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439151.622,9.8,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439152.581,9.8,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439152.597,9.8,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439152.606,9.8,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439152.622,9.7,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439152.636,9.8,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439152.652,9.8,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439155.526,9.9,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439155.583,10.2,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439155.642,10.1,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439168.560,9.6,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439168.569,9.7,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
2439168.578,9.7,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR CET,,STD,,,,
