BJD,Magnitude,Uncertainty
2456620.673904576,9.761000000000001,0.002
2456620.676854486,9.746,0.002
2456620.678334441,9.741,0.002
2456620.679804396,9.727,0.002
2456620.68129435,9.722000000000001,0.002
2456620.682784304,9.722000000000001,0.002
2456620.684264259,9.708,0.002
2456620.685754213,9.706,0.002
2456620.6872241683,9.69,0.002
2456620.688704122,9.693,0.002
2456620.690184077,9.691,0.002
2456620.691654032,9.676,0.002
2456620.693133986,9.661,0.002
2456620.69461394,9.668,0.002
2456620.696083895,9.662,0.002
2456620.69755385,9.654,0.002
2456620.699043804,9.642999999999999,0.002
2456620.700503759,9.648,0.002
2456620.701993713,9.64,0.002
2456620.7034836668,9.633,0.002
2456620.7049636208,9.623,0.002
2456620.706443576,9.619,0.002
2456620.70792353,9.609,0.002
2456620.709393485,9.617,0.002
2456620.710883438,9.603,0.002
2456620.7123633916,9.607000000000001,0.002
2456620.7138533457,9.597999999999999,0.002
2456620.715323301,9.603,0.002
2456620.716813254,9.599,0.002
2456620.718283209,9.597999999999999,0.002
2456620.719773163,9.592,0.002
2456620.721233117,9.595,0.002
2456620.722723071,9.59,0.002
2456620.724203025,9.586,0.002
2456620.72567298,9.586,0.002
2456620.727142934,9.59,0.002
2456620.728612888,9.584,0.002
2456620.730082843,9.586,0.002
2456620.731572796,9.587,0.002
2456620.733042751,9.582,0.002
2456620.734522704,9.585,0.002
2456620.735992658,9.583,0.002
2456620.737492612,9.586,0.002
2456620.738952566,9.584,0.002
2456620.740432519,9.586,0.002
2456620.741912473,9.59,0.002
2456620.743402427,9.587,0.002
2456620.744882381,9.597999999999999,0.002
2456620.746352335,9.587,0.002
2456620.747842289,9.596,0.002
2456620.7493322417,9.601,0.002
2456620.750802196,9.597000000000001,0.002
2456620.752282149,9.605,0.002
2456620.753762103,9.605,0.002
2456620.7552420567,9.612,0.002
2456620.75671201,9.612,0.002
2456620.758181964,9.618,0.002
2456620.759651918,9.607000000000001,0.002
2456620.7611518707,9.613999999999999,0.002
2456620.7626318242,9.626,0.002
2456620.764101778,9.622,0.002
2456620.765571732,9.624,0.002
2456620.767051686,9.624,0.002
2456620.76852164,9.633,0.002
2456620.770001593,9.627,0.002
2456620.7714915457,9.636000000000001,0.002
2456620.7729615,9.635,0.002
2456620.774441453,9.632,0.002
2456620.775931406,9.645,0.002
2456620.77739136,9.648,0.002
2456620.7788813133,9.657,0.002
2456620.7803512667,9.652000000000001,0.003
2456620.78184122,9.651,0.002
2456620.783321173,9.654,0.002
2456620.784801126,9.656,0.002
2456620.786271079,9.662,0.002
2456620.787751033,9.665,0.002
2456620.789230986,9.672,0.002
2456620.790720939,9.668,0.002
2456620.7922008918,9.666,0.002
2456620.793680845,9.67,0.002
2456620.795150799,9.672,0.002
2456620.796630751,9.681000000000001,0.002
2456620.798110704,9.676,0.002
2456620.799590657,9.679,0.002
2456620.801070611,9.689,0.002
2456620.8025705633,9.693,0.002
2456620.8040405167,9.692,0.002
2456620.8055104692,9.7,0.002
2456620.806990422,9.707,0.002
2456620.808490375,9.7,0.002
2456620.809970328,9.708,0.002
2456620.811440281,9.719,0.002
2456620.812910234,9.718,0.002
2456620.8144001868,9.709,0.002
2456620.81588014,9.72,0.002
2456620.817370092,9.725,0.002
2456620.818850045,9.729,0.003
2456620.820319998,9.721,0.002
