BJD,Magnitude,Uncertainty
2456267.833357524,10.970999999999998,0.273
2456239.721057567,10.855,0.024
2456239.736827455,10.879000000000001,0.024
2456239.779537139,10.952,0.024
2456251.666809123,10.734000000000002,0.021
2456251.663169214,10.719000000000001,0.021
2456253.65192531,11.119000000000002,0.022
2456253.6812344883,11.036,0.022
2456253.741162783,10.84,0.022
2456204.867458743,11.227,0.269
2456255.668924738,11.15,0.021
2456255.698313823,11.172,0.021
2456267.803648984,10.868,0.273
2456253.776901751,10.751,0.022
2456265.652579824,10.965,0.368
2456265.682478474,10.972999999999999,0.368
2456270.839876328,10.960999999999999,0.074
2456270.869504749,10.828,0.074
2456272.734375196,11.005999999999998,0.031
2456282.589009645,10.968,0.023
2456257.666078954,11.097000000000001,0.021
2456257.70722755,11.164000000000001,0.021
2456204.831057157,11.092,0.269
2456204.844887761,11.206,0.269
2456204.837127422,11.081,0.269
2456204.955692538,11.21,0.269
2456204.897420039,11.175,0.269
2456204.926501289,11.029000000000002,0.269
2456239.6908277767,10.825999999999999,0.024
2456204.986443845,11.479000000000001,0.269
2456205.01728515,11.334000000000001,0.269
2456224.8008593167,10.901,0.038
2456227.764577739,11.009,0.026
2456227.734997408,10.981,0.026
2456227.781787929,11.052999999999999,0.026
2455485.792027825,10.817,0.134
2455458.023661211,10.845,0.071
2455468.987739556,11.114,0.185
2455064.97248478,12.482999999999999,0.189
2456237.704959516,10.947000000000001,0.022
2456235.777385146,11.119000000000002,0.028
2456233.764334934,10.834000000000001,0.162
2456227.810898243,10.921,0.026
2456202.994445231,11.197000000000001,0.028
2455481.015629623,10.942,0.023
2455436.9926231657,11.145999999999999,0.033
2455064.9279410783,12.412,0.189
2455042.987457002,12.335,0.026
2456202.819327237,11.213,0.028
2455480.970648117,10.901,0.023
