obsmjd,mag_autocorr,magerr_auto,oid,ra,dec,fid,transient_flag,astrometricrms,nobs,ngoodobs,nbestobs,referencemag,referencemagerr,medianmag,bestmedianmag,meanmag,bestmeanmag,magrms,bestmagrms,sid,s_ra,s_dec,ptffield,ccdid,hmjd,nid,mag_auto,limitmag,absphotzp,fwhmsex,fwhm_image,qaflags,flags,photcalflag,goodflag,pid,dist,angle
56267.3283572,10.971,0.27300000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14758674000112,47.96716,-11.354088000000000,2083,4,56267.332567200000,1354,11.209,20.752000000000000,27.708000000000000,2.0500000000000000,19.185000000000000,0,29491204,0,1,14758674,1.3815140000000000,135.566205
56239.2152572,10.855,0.02400000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14580152000164,47.96713,-11.354043000000000,2083,4,56239.220297200000,1326,10.857,21.420000000000000,28.118000000000000,2.1500000000000000,26.783000000000000,0,29491204,0,1,14580152,1.3815140000000000,135.566205
56239.2310272,10.879,0.02400000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14580164000182,47.96712,-11.354013000000000,2083,4,56239.236067200000,1326,10.886,21.450000000000000,28.136000000000000,2.2500000000000000,26.879000000000000,0,29491204,0,1,14580164,1.3815140000000000,135.566205
56239.2737372,10.952,0.02400000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14580193000160,47.96715,-11.354048000000000,2083,4,56239.278777200000,1326,10.955,21.718000000000000,28.163000000000000,1.9500000000000000,26.600000000000000,0,29491204,0,1,14580193,1.3815140000000000,135.566205
56251.1612072,10.734,0.02100000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14655851000155,47.96713,-11.354041000000000,2083,4,56251.166037200000,1338,10.729,21.182000000000000,28.100000000000000,1.9500000000000000,28.518000000000000,0,29491204,0,1,14655851,1.3815140000000000,135.566205
56251.1575672,10.719,0.02100000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14655852000135,47.96715,-11.354086000000000,2083,4,56251.162397200000,1338,10.713,20.958000000000000,28.094000000000000,2.3500000000000000,28.248000000000000,0,29491204,0,1,14655852,1.3815140000000000,135.566205
56253.1463772,11.119,0.02200000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14675024000113,47.96714,-11.354072000000000,2083,4,56253.151157200000,1340,11.108,20.848000000000000,28.071000000000000,2.0500000000000000,23.759000000000000,0,29491204,0,1,14675024,1.3815140000000000,135.566205
56253.1756872,11.036,0.02200000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14675042000120,47.96709,-11.354089000000000,2083,4,56253.180457200000,1340,11.038,21.020000000000000,28.120000000000000,2.0500000000000000,24.520000000000000,0,29491204,0,1,14675042,1.3815140000000000,135.566205
56253.2356172,10.840,0.02200000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14675078000151,47.96716,-11.354026000000000,2083,4,56253.240387200000,1340,10.894,21.245000000000000,28.165000000000000,1.8500000000000000,27.401000000000000,0,29491204,0,1,14675078,1.3815140000000000,135.566205
56204.3623072,11.227,0.26900000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14314634000079,47.96713,-11.354084000000000,2083,4,56204.366717200000,1301,10.046,17.882000000000000,26.189000000000000,2.6500000000000000,4.122000000000000,0,29491204,0,1,14314634,1.3815140000000000,135.566205
56255.1634372,11.150,0.02100000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14695757000144,47.96718,-11.354062000000000,2083,4,56255.168147200000,1342,11.132,20.907000000000000,28.108000000000000,1.7500000000000000,24.811000000000000,0,29491204,0,1,14695757,1.3815140000000000,135.566205
56255.1928272,11.172,0.02100000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14695781000136,47.96707,-11.354008000000000,2083,4,56255.197537200000,1342,11.163,20.964000000000000,28.142000000000000,1.8500000000000000,24.530000000000000,0,29491204,0,1,14695781,1.3815140000000000,135.566205
56267.2986472,10.868,0.27300000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14758659000095,47.96712,-11.354099000000000,2083,4,56267.302857200000,1354,11.603,20.822000000000000,27.772000000000000,2.2500000000000000,16.849000000000000,0,16908292,0,1,14758659,1.3815140000000000,135.566205
56253.2713572,10.751,0.02200000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14675096000149,47.96712,-11.354000000000000,2083,4,56253.276127200000,1340,10.768,21.312000000000000,28.174000000000000,1.8500000000000000,29.246000000000000,0,29491204,0,1,14675096,1.3815140000000000,135.566205
56265.1474772,10.965,0.36800000000000000,20832040004119,47.967064000000000,-11.354174,2,0,null,62,0,0,null,null,null,null,null,null,null,null,14767381000146,47.96714,-11.354084000000000,2083,4,56265.151797200000,1352,10.679,20.801000000000000,27.798000000000000,3.0500000000000000,24.931000000000000,0,29491204,0,1,14767381,1.3815140000000000,135.566205
