BJD,Magnitude,Uncertainty
2452053.5087139998,9.833,0.049
2452069.458603,9.732000000000001,0.045
2452442.4516080003,10.147,0.071
2452660.7708819997,9.824,0.048
2452712.604341,10.09,0.036000000000000004
2452720.5973509997,10.107999999999999,0.035
2452722.596481,10.204,0.04
2452724.594471,10.211,0.034
2452726.592791,9.942,0.032
2452728.583961,9.838,0.035
2452730.579871,9.863,0.034
2452735.621611,10.25,0.036000000000000004
2452737.608831,10.081,0.031
2452740.532271,10.052999999999999,0.038
2452743.54794,9.802,0.038
2452750.58321,10.141,0.032
2452752.5571,10.039,0.035
2452755.55255,9.818,0.032
2452757.5493,9.896,0.036000000000000004
2452759.57655,10.171,0.05
2452761.55228,10.234,0.039
2452766.5383599997,9.898,0.04
2452770.56274,9.966000000000001,0.033
2452783.5008900003,9.842,0.042
2452785.504789,9.943999999999999,0.038
2452787.504489,10.193999999999999,0.038
2452790.536039,10.083,0.033
2452792.542799,9.868,0.039
2452804.515539,9.98,0.04
2452810.467569,9.866,0.039
2452812.474439,10.1,0.035
2452814.476889,10.175,0.037000000000000005
2452820.451599,9.912,0.036000000000000004
2452946.864178,9.953,0.036000000000000004
2452952.843748,10.267999999999999,0.04
2452962.833288,10.155,0.039
2452974.818198,10.037,0.044000000000000004
2452977.799628,10.225,0.036000000000000004
2452980.821508,9.943,0.046
2453005.777608,10.232999999999999,0.034
2453007.778848,9.902000000000001,0.043
2453009.829638,9.856,0.057
2453012.760608,9.874,0.039
2453016.7954080002,10.235,0.036000000000000004
2453018.815518,9.962,0.04
2453023.767168,9.892000000000001,0.07200000000000001
2453028.7620779998,10.123,0.05
2453031.709108,10.198,0.036000000000000004
2453033.7369279996,10.009,0.034
2453035.785548,9.814,0.036000000000000004
2453043.723318,10.189,0.039
2453045.763698,9.948,0.037000000000000005
2453048.711218,9.834,0.04
2453051.6671680002,9.856,0.051
2453053.733008,10.045,0.037000000000000005
2453055.802538,10.086,0.034
2453058.651688,10.195,0.034
2453060.679518,10.045,0.046
2453071.646308,10.214,0.037000000000000005
2453073.6913880003,9.955,0.035
2453075.694608,9.766,0.043
2453077.715878,9.927,0.033
2453079.721038,10.115,0.039
2453081.751528,10.252,0.033
2453085.748108,9.849,0.036000000000000004
2453088.548778,10.225,0.053
2453090.590628,9.877,0.04
2453092.586338,9.797,0.031
2453098.5732380003,10.199,0.038
2453100.583058,10.222999999999999,0.033
2453102.5899380003,9.942,0.036000000000000004
2453104.599918,9.892999999999999,0.065
2453106.598108,9.871,0.034
2453108.6000779998,10.095,0.037000000000000005
2453110.5968279997,10.173,0.036000000000000004
2453112.615238,10.163,0.037000000000000005
2453114.623668,9.842,0.038
2453116.6384880003,9.832,0.043
2453121.595318,10.107000000000001,0.033
2453125.573758,10.234,0.036000000000000004
2453127.605228,9.943999999999999,0.067
2453130.5016880003,10.015,0.034
2453132.531148,9.827,0.040999999999999995
2453134.5530580003,9.994,0.040999999999999995
2453142.5829080003,9.802999999999999,0.035
2453146.538528,9.886000000000001,0.032
2453153.552268,10.036,0.037000000000000005
2453156.549168,9.907,0.043
2453160.499458,9.863,0.037000000000000005
2453163.516628,10.176,0.033
2453167.471078,10.217,0.046
2453171.464488,9.871,0.037000000000000005
2453175.465688,9.971,0.037000000000000005
2453185.456168,9.849,0.04
2453188.459908,10.022,0.083
2453444.549773,9.841000000000001,0.045
2453446.609623,10.092,0.07
2453481.522393,9.953,0.07
2453794.713114,10.155,0.075
2453863.477126,10.007,0.087
2454257.49423,10.172,0.040999999999999995
2454259.51682,9.902999999999999,0.05
2451889.801752,10.184,0.052000000000000005
2452068.507644,9.795,0.059000000000000004
2452071.468993,9.941,0.053
2452082.450373,9.809,0.06
2452087.4530619998,10.129,0.06
2452443.456888,9.958,0.040999999999999995
2452622.784713,9.861,0.031
2452624.840563,10.156,0.035
2452634.860443,10.033,0.028999999999999998
2452637.799443,10.17,0.033
2452639.8385819998,10.214,0.028999999999999998
2452642.799132,10.076,0.031
2452645.779402,9.854,0.033
2452649.768642,9.948,0.031
2452651.7587119997,10.096,0.031
2452657.7388919997,10.052,0.033
2452661.790162,9.948,0.038
2452663.779162,10.12,0.03
2452665.772012,10.23,0.032
2452667.771702,10.206,0.035
2452669.776882,9.899,0.03
2452671.760402,9.834,0.035
2452673.756752,9.847000000000001,0.027999999999999997
2452675.748432,9.961,0.032
2452677.727292,10.081,0.03
2452681.705662,10.257,0.037000000000000005
2452683.708021,10.058,0.035
2452685.706951,9.885,0.035
2452688.723261,9.899,0.034
2452690.710881,10.066,0.03
2452692.774621,10.193999999999999,0.043
2452694.7005209997,10.214,0.03
2452696.715641,9.954,0.028999999999999998
2452698.706051,9.878,0.03
2452700.694041,9.838,0.115
2452704.675231,10.059,0.023
2452706.663431,10.185,0.027000000000000003
2452710.6373509998,10.209,0.031
2452717.597551,9.882,0.035
2452719.6611409998,10.219,0.054000000000000006
2452721.6314209998,10.263,0.036000000000000004
2452722.766681,9.872,0.038
2452726.650901,9.838,0.033
2452728.642141,9.881,0.033
