BJD,Magnitude,Uncertainty
2455905.637833569,11.655,0.008
2455905.640683649,11.673,0.013000000000000001
2455905.642113688,11.684000000000001,0.006999999999999999
2455905.643533728,11.675999999999998,0.008
2455905.6449637683,11.674000000000001,0.008
2455905.646383808,11.671,0.008
2455905.647813847,11.679,0.008
2455905.649233887,11.683,0.009000000000000001
2455905.652083965,11.677,0.008
2455905.653504005,11.663,0.008
2455905.654934045,11.65,0.006999999999999999
2455905.656354085,11.658,0.008
2455905.6577741243,11.659,0.008
2455905.659204164,11.681,0.008
2455905.6606242033,11.652999999999999,0.011000000000000001
2455905.662054243,11.67,0.008
2455905.663474282,11.645,0.006999999999999999
2455905.664894321,11.642999999999999,0.008
2455905.666314361,11.658,0.008
2455905.667744401,11.669,0.008
2455905.66917444,11.667,0.008
2455905.67059448,11.65,0.006999999999999999
2455905.672014519,11.654000000000002,0.006999999999999999
2455905.673444559,11.628,0.008
2455905.674864598,11.65,0.006999999999999999
2455905.6762846382,11.62,0.009000000000000001
2455905.677714677,11.630999999999998,0.006999999999999999
2455905.6791347167,11.624,0.008
2455905.680564757,11.618,0.008
2455905.681994796,11.623,0.01
2455905.683414835,11.6,0.006999999999999999
2455905.684844875,11.616,0.008
2455905.686274915,11.585999999999999,0.008
2455905.687694954,11.58,0.009000000000000001
2455905.689114993,11.59,0.008
2455905.690545033,11.582,0.008
2455905.691965072,11.564,0.006999999999999999
2455905.6933951117,11.547,0.006999999999999999
2455905.694825152,11.565999999999999,0.006999999999999999
2455905.6962551908,11.557,0.009000000000000001
2455905.697685231,11.525,0.008
2455905.699105271,11.535,0.008
2455905.700545311,11.534,0.008
2455905.70196535,11.505999999999998,0.025
2455905.703395389,11.493,0.008
2455905.7048154282,11.475,0.006999999999999999
2455905.706235468,11.5,0.006999999999999999
2455905.7076655068,11.470999999999998,0.008
2455905.709095547,11.467,0.011000000000000001
2455905.7105255867,11.48,0.008
2455905.711945626,11.443,0.008
2455905.7133756657,11.432,0.008
2455905.714805705,11.435,0.006999999999999999
2455905.716245745,11.407,0.006999999999999999
2455905.717665784,11.44,0.009000000000000001
2455905.7190958243,11.405999999999999,0.01
2455905.720515863,11.392999999999999,0.015
2455905.7219459033,11.369000000000002,0.008
2455905.723365942,11.370999999999999,0.009000000000000001
2455905.724785981,11.375,0.006999999999999999
2455905.726216021,11.384,0.008
2455905.72763606,11.366,0.008
2455905.7290661,11.37,0.006999999999999999
2455905.730486139,11.345,0.008
2455905.731916178,11.37,0.01
2455905.7333462182,11.357000000000001,0.006999999999999999
2455905.734766257,11.347000000000001,0.013999999999999999
2455905.7361962968,11.335,0.006999999999999999
2455905.737626337,11.353,0.015
2455905.739056375,11.341,0.011000000000000001
2455905.740486415,11.334000000000001,0.006999999999999999
2455905.741916454,11.33,0.006999999999999999
2455905.743346495,11.33,0.009000000000000001
2455905.744766533,11.329,0.008
2455905.746196573,11.317,0.01
2455905.747626612,11.314,0.008
2455905.7490466516,11.312000000000001,0.008
2455905.750466691,11.325,0.023
2455905.751896731,11.319,0.017
2455905.75332677,11.325999999999999,0.008
2455905.754756809,11.33,0.006999999999999999
2455905.756176848,11.325999999999999,0.011000000000000001
