BJD,Magnitude,Uncertainty
2452757.717925183,11.02,0.01
2452757.7189252167,11.05,0.01
2452757.71992525,11.05,0.01
2452757.720925284,11.07,0.01
2452757.721925317,11.05,0.01
2452757.722925351,11.0,0.01
2452757.723925384,11.01,0.01
2452757.725825448,11.06,0.01
2452757.727825515,11.01,0.01
2452757.728825549,11.03,0.01
2452757.729825582,11.05,0.01
2452757.730825616,11.02,0.01
2452757.7318256493,11.07,0.01
2452757.732725679,11.05,0.01
2452757.734725747,11.09,0.01
2452757.73572578,11.09,0.01
2452757.7367258132,11.08,0.01
2452757.73872588,11.1,0.01
2452757.739725914,11.17,0.01
2452757.740625944,11.11,0.01
2452757.74262601,11.13,0.01
2452757.743626044,11.18,0.01
2452757.7446260783,11.19,0.01
2452757.745626111,11.13,0.01
2452757.7466261443,11.14,0.01
2452757.747526174,11.17,0.01
2452757.748526208,11.14,0.01
2452757.749526241,11.16,0.01
2452757.7515263082,11.19,0.01
2452757.753526375,11.19,0.01
2452757.755426438,11.18,0.01
2452757.7564264718,11.18,0.01
2452757.757426505,11.17,0.01
2452757.758426538,11.19,0.01
2452757.759426571,11.18,0.01
2452757.760426605,11.21,0.01
2452757.762426672,11.18,0.01
2452757.763326701,11.18,0.01
2452757.766426804,11.15,0.01
2452757.767426838,11.19,0.01
2452757.768426871,11.13,0.01
2452757.7703269343,11.1,0.01
2452757.771326968,11.14,0.01
2452757.7723270007,11.14,0.01
2452757.773327034,11.12,0.01
2452757.7743270667,11.09,0.01
2452757.7753271,11.05,0.01
2452757.776327133,10.98,0.01
2452757.77922723,11.05,0.01
2452757.7812272958,11.01,0.01
2452757.784227395,10.99,0.01
2452757.785227429,10.96,0.01
2452757.7861274583,10.92,0.01
2452757.787127492,10.87,0.01
2452757.788127525,10.87,0.01
2452757.789127558,10.84,0.01
2452757.7901275908,10.81,0.01
2452757.791127624,10.77,0.01
2452757.7921276568,10.7,0.01
2452757.79312769,10.67,0.01
2452757.79402772,10.62,0.01
2452757.7950277533,10.56,0.01
2452757.796027786,10.53,0.01
2452757.798027853,10.44,0.01
2452757.800027919,10.36,0.01
2452757.801027951,10.29,0.01
2452757.801927981,10.25,0.01
2452757.802928014,10.23,0.01
2452757.803928047,10.19,0.01
2452757.80492808,10.16,0.01
2452757.806928146,10.09,0.01
2452757.807828175,10.03,0.01
2452757.808828209,10.02,0.01
2452757.810828274,9.98,0.01
2452757.811828307,9.95,0.01
2452757.812828341,9.93,0.01
2452757.8138283733,9.92,0.01
2452757.814828406,9.91,0.01
2452757.815828439,9.9,0.01
2452757.816828472,9.91,0.01
2452757.817728501,9.9,0.01
2452757.818728534,9.89,0.01
2452757.819728567,9.9,0.01
2452757.8207286,9.9,0.01
2452757.8217286333,9.89,0.01
2452757.822728666,9.89,0.01
2452757.8237286983,9.91,0.01
2452757.824728731,9.9,0.01
2452757.8257287643,9.92,0.01
2452757.8276288267,9.93,0.01
2452757.828628859,9.92,0.01
2452757.829628892,9.94,0.01
2452757.830628925,9.94,0.01
2452757.831628957,9.95,0.01
2452757.832628991,9.95,0.01
2452757.83352902,9.96,0.01
2452757.834529052,9.98,0.01
2452757.835529085,9.98,0.01
2452757.836529118,9.99,0.01
2452757.837529151,10.01,0.01
2452757.838529183,10.01,0.01
2452757.839529216,10.01,0.01
2452757.841529281,10.03,0.01
2452757.842529314,10.02,0.01
2452757.8434293433,10.05,0.01
2452757.844429376,10.06,0.01
2452757.846429441,10.07,0.01
2452757.847429474,10.07,0.01
2452757.8484295057,10.08,0.01
2452757.849429539,10.08,0.01
2452757.850329569,10.1,0.01
2452757.851329601,10.1,0.01
2452757.852329634,10.1,0.01
2452757.853329666,10.14,0.01
2452757.8563297642,10.18,0.01
2452757.8583298293,10.17,0.01
2452757.859229858,10.16,0.01
2452757.860229891,10.18,0.01
2452757.861229923,10.17,0.01
2452757.863229988,10.2,0.01
2452840.383064925,10.86,
2452840.383064925,10.85,
2453174.859134899,11.225999999999999,
2453174.860734847,11.241,
2453174.862144801,11.232999999999999,
2453174.863554755,11.295,
2453174.864964708,11.244000000000002,
2453174.867794615,11.283,
2453174.869204569,11.286,
2453174.870614523,11.27,
2453174.872024477,11.290999999999999,
2453174.87344443,11.283,
2453174.874854383,11.262,
2453174.876264337,11.269,
2453174.87767429,11.255999999999998,
2453174.879104244,11.27,
2453174.88619401,11.218,
2453174.8876039633,11.187000000000001,
2453174.8890039166,11.199000000000002,
2453174.891843824,11.106,
2453174.893263777,11.100999999999999,
2453174.89468373,11.072000000000001,
2453174.896083684,11.009,
2453174.897503637,10.978,
