BJD,Magnitude,Uncertainty
2452453.92937,9.351,0.057
2452660.591519,9.522,0.05
2451888.7283240003,9.208,0.057
2451949.524305,9.597999999999999,0.063
2451955.5269049997,9.788,0.087
2452453.92937,9.35,0.052000000000000005
2452465.92013,9.627,0.043
2452467.92142,9.732000000000001,0.036000000000000004
2452468.92827,9.079,0.051
2452470.925431,9.062999999999999,0.040999999999999995
2452491.869701,9.431000000000001,0.059000000000000004
2452493.8718709997,9.571,0.075
2452496.8466419997,9.963,0.115
2452498.863382,9.346,0.044000000000000004
2452503.844972,9.832,0.043
2452519.815262,9.295,0.036000000000000004
2452540.706263,9.401,0.042
2452566.835624,9.582,0.078
2452577.801835,9.342,0.054000000000000006
2452627.590798,9.862,0.037000000000000005
2452629.5932380003,9.812999999999999,0.043
2452634.688228,9.789,0.039
2452637.564428,9.253,0.038
2452641.5839380003,9.236,0.037000000000000005
2452643.579458,9.367,0.037000000000000005
2452645.567799,9.455,0.038
2452647.5654189996,9.558,0.057
2452654.532789,8.958,0.04
2452657.578759,9.827,0.04
2452659.596709,9.833,0.04
2452661.593529,9.979,0.043
2452663.592159,9.68,0.04
2452665.591929,8.972999999999999,0.05
2452667.591209,9.08,0.049
2452669.585249,9.228,0.044000000000000004
2452671.584139,9.312999999999999,0.052000000000000005
2452673.578469,9.472000000000001,0.045
2452675.566079,9.565,0.045
2452681.53228,10.62,0.052000000000000005
2452683.5517700003,9.799,0.047
2452686.53326,9.35,0.047
2452688.54077,9.385,0.047
2452690.54207,9.587,0.043
2452692.53926,9.681000000000001,0.046
2452695.51778,9.273,0.04
2452697.52155,8.953,0.042
2452699.52942,9.222000000000001,0.038
2452702.50778,9.826,0.040999999999999995
2452710.498561,9.203,0.042
2452831.909287,9.689,0.033
2452836.927127,9.228,0.037000000000000005
2452840.919197,9.448,0.036000000000000004
2452853.9352869997,9.48,0.034
2452858.8967979997,9.916,0.033
2452860.911618,9.353,0.033
2452867.857248,9.814,0.04
2452874.855538,9.593,0.038
2452877.839878,9.299,0.044000000000000004
2452883.861069,9.344,0.042
2452885.834309,9.423,0.036000000000000004
2452892.8719389997,8.962,0.042
2452894.804809,8.946,0.039
2452902.799809,9.504,0.052000000000000005
2452905.78004,9.922,0.036000000000000004
2452908.78716,9.785,0.039
2452910.8152900003,9.85,0.052000000000000005
2452915.87647,9.629,0.04
2452921.7467900002,9.636000000000001,0.038
2452926.77673,9.154,0.052000000000000005
2452928.774251,9.286,0.047
2452930.769541,9.431000000000001,0.036000000000000004
2452932.7564009996,9.539,0.043
2452937.707871,9.937000000000001,0.039
2452940.729561,9.758,0.046
2452942.704471,9.825,0.06
2452944.7089919997,9.857000000000001,0.048
2452948.745402,9.937000000000001,0.045
2452956.6972419997,9.062999999999999,0.047
2452958.718502,9.254,0.044000000000000004
2452960.692032,9.377,0.047
2452962.729353,9.561,0.04
2452964.719663,9.629,0.043
2452966.722953,9.701,0.039
2452968.771893,9.811,0.039
2452971.610393,9.317,0.036000000000000004
2452973.640503,9.081,0.042
2452975.651243,9.316,0.04
2452983.638474,9.713,0.04
2452985.644554,9.782,0.04
2452990.637694,9.342,0.039
