JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2438605.791,10.173,,,V,SCNA,,NA,,,,1,,Z,,,2438605.795,AV PEG,,STD,1,1966ApJ...143..774S,FCHA,
2438605.791,10.484,,,B,SCNA,,NA,,,,1,,Z,,,2438605.795,AV PEG,,STD,1,1966ApJ...143..774S,FCHA,
2438605.791,10.724,,,U,SCNA,,NA,,,,1,,Z,,,2438605.795,AV PEG,,STD,1,1966ApJ...143..774S,FCHA,
2438605.801,10.256,,,V,SCNA,,NA,,,,1,,Z,,,2438605.805,AV PEG,,STD,2,1966ApJ...143..774S,FCHA,
2438605.801,10.571,,,B,SCNA,,NA,,,,1,,Z,,,2438605.805,AV PEG,,STD,2,1966ApJ...143..774S,FCHA,
2438605.801,10.804,,,U,SCNA,,NA,,,,1,,Z,,,2438605.805,AV PEG,,STD,2,1966ApJ...143..774S,FCHA,
2438605.953,10.724,,,V,SCNA,,NA,,,,1,,Z,,,2438605.957,AV PEG,,STD,3,1966ApJ...143..774S,FCHA,
2438605.953,11.208,,,B,SCNA,,NA,,,,1,,Z,,,2438605.957,AV PEG,,STD,3,1966ApJ...143..774S,FCHA,
2438605.953,11.384,,,U,SCNA,,NA,,,,1,,Z,,,2438605.957,AV PEG,,STD,3,1966ApJ...143..774S,FCHA,
2438618.863,10.789,,,V,SCNA,,NA,,,,1,,Z,,,2438618.868,AV PEG,,STD,4,1966ApJ...143..774S,FCHA,
2438618.863,11.298,,,B,SCNA,,NA,,,,1,,Z,,,2438618.868,AV PEG,,STD,4,1966ApJ...143..774S,FCHA,
2438618.863,11.51,,,U,SCNA,,NA,,,,1,,Z,,,2438618.868,AV PEG,,STD,4,1966ApJ...143..774S,FCHA,
2438619.781,9.975,,,V,SCNA,,NA,,,,1,,Z,,,2438619.786,AV PEG,,STD,5,1966ApJ...143..774S,FCHA,
2438619.781,10.161,,,B,SCNA,,NA,,,,1,,Z,,,2438619.786,AV PEG,,STD,5,1966ApJ...143..774S,FCHA,
2438619.781,10.313,,,U,SCNA,,NA,,,,1,,Z,,,2438619.786,AV PEG,,STD,5,1966ApJ...143..774S,FCHA,
2438619.790,9.875,,,V,SCNA,,NA,,,,1,,Z,,,2438619.795,AV PEG,,STD,6,1966ApJ...143..774S,FCHA,
2438619.790,10.062,,,B,SCNA,,NA,,,,1,,Z,,,2438619.795,AV PEG,,STD,6,1966ApJ...143..774S,FCHA,
2438619.790,10.246,,,U,SCNA,,NA,,,,1,,Z,,,2438619.795,AV PEG,,STD,6,1966ApJ...143..774S,FCHA,
2438622.731,10.688,,,V,SCNA,,NA,,,,1,,Z,,,2438622.736,AV PEG,,STD,7,1966ApJ...143..774S,FCHA,
2438622.731,11.193,,,B,SCNA,,NA,,,,1,,Z,,,2438622.736,AV PEG,,STD,7,1966ApJ...143..774S,FCHA,
2438622.731,11.425,,,U,SCNA,,NA,,,,1,,Z,,,2438622.736,AV PEG,,STD,7,1966ApJ...143..774S,FCHA,
2438622.767,10.744,,,V,SCNA,,NA,,,,1,,Z,,,2438622.772,AV PEG,,STD,8,1966ApJ...143..774S,FCHA,
2438622.767,11.265,,,B,SCNA,,NA,,,,1,,Z,,,2438622.772,AV PEG,,STD,8,1966ApJ...143..774S,FCHA,
2438622.767,11.506,,,U,SCNA,,NA,,,,1,,Z,,,2438622.772,AV PEG,,STD,8,1966ApJ...143..774S,FCHA,
2438622.804,10.801,,,V,SCNA,,NA,,,,1,,Z,,,2438622.809,AV PEG,,STD,9,1966ApJ...143..774S,FCHA,
2438622.804,11.333,,,B,SCNA,,NA,,,,1,,Z,,,2438622.809,AV PEG,,STD,9,1966ApJ...143..774S,FCHA,
2438622.804,11.586,,,U,SCNA,,NA,,,,1,,Z,,,2438622.809,AV PEG,,STD,9,1966ApJ...143..774S,FCHA,
2438622.841,10.906,,,V,SCNA,,NA,,,,1,,Z,,,2438622.846,AV PEG,,STD,10,1966ApJ...143..774S,FCHA,
2438622.841,11.445,,,B,SCNA,,NA,,,,1,,Z,,,2438622.846,AV PEG,,STD,10,1966ApJ...143..774S,FCHA,
2438622.841,11.669,,,U,SCNA,,NA,,,,1,,Z,,,2438622.846,AV PEG,,STD,10,1966ApJ...143..774S,FCHA,
2440130.641,10.4,,,Vis.,BM,,NA,,NA,,,,Z,,,,AV PEG,,STD,,,,
2440471.721,10.1,,,Vis.,BM,,NA,,NA,,,,Z,,,,AV PEG,,STD,,,,
2440471.742,10.0,,,Vis.,BM,,NA,,NA,,,,Z,,,,AV PEG,,STD,,,,
2440471.749,10.0,,,Vis.,BM,,NA,,NA,,,,Z,,,,AV PEG,,STD,,,,
2440471.769,10.1,,,Vis.,BM,,NA,,NA,,,,Z,,,,AV PEG,,STD,,,,
2440471.788,10.4,,,Vis.,BM,,NA,,NA,,,,Z,,,,AV PEG,,STD,,,,
2440471.858,10.7,,,Vis.,BM,,NA,,NA,,,,Z,,,,AV PEG,,STD,,,,
2440471.884,10.8,,,Vis.,BM,,NA,,NA,,,,Z,,,,AV PEG,,STD,,,,
2440471.906,11.0,,,Vis.,BM,,NA,,NA,,,,Z,,,,AV PEG,,STD,,,,
2440471.935,11.3,,,Vis.,BM,,NA,,NA,,,,Z,,,,AV PEG,,STD,,,,
2440475.767,10.9,,,Vis.,BM,,NA,,NA,,,,Z,,,,AV PEG,,STD,,,,
2440475.785,11.0,,,Vis.,BM,,NA,,NA,,,,Z,,,,AV PEG,,STD,,,,
2440475.803,11.0,,,Vis.,BM,,NA,,NA,,,,Z,,,,AV PEG,,STD,,,,
2440475.826,11.0,,,Vis.,BM,,NA,,NA,,,,Z,,,,AV PEG,,STD,,,,
