obsmjd,mag_autocorr,magerr_auto,oid,ra,dec,fid,transient_flag,astrometricrms,nobs,ngoodobs,nbestobs,referencemag,referencemagerr,medianmag,bestmedianmag,meanmag,bestmeanmag,magrms,bestmagrms,sid,s_ra,s_dec,ptffield,ccdid,hmjd,nid,mag_auto,limitmag,absphotzp,fwhmsex,fwhm_image,qaflags,flags,photcalflag,goodflag,pid,dist,angle
56949.1179472,10.93,0.034000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21862220005893,328.011796,22.574926000000000,3813,8,56949.121327200000,2011,10.917,21.815000000000000,28.166,2.4500000000000000,26.663,0,29491206,0,1,21862220,1.2964990000000000,94.457251000000000
56955.1177872,11.69,0.046000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21983051006158,328.011778,22.574917000000000,3813,8,56955.120797200000,2017,11.688,21.848000000000000,28.188,2.1500000000000000,18.893,0,29491204,0,1,21983051,1.2964990000000000,94.457251000000000
56954.1644472,11.47,0.024000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21962883006360,328.011710,22.574774000000000,3813,8,56954.167507200000,2016,11.495,21.799000000000000,28.223,2.4500000000000000,21.393,0,29491204,0,1,21962883,1.2964990000000000,94.457251000000000
56954.1334772,12.03,0.024000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21962855006365,328.011716,22.574779000000000,3813,8,56954.136537200000,2016,12.050,21.804000000000000,28.226,2.4500000000000000,6.810,0,29491204,0,1,21962855,1.2964990000000000,94.457251000000000
56953.1460372,11.61,0.062000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21948362006288,328.011800,22.574954000000000,3813,8,56953.149167200000,2015,11.581,21.874000000000000,28.161,2.1500000000000000,19.368,0,29491204,0,1,21948362,1.2964990000000000,94.457251000000000
56953.1150372,11.50,0.062000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21948334006318,328.011824,22.574965000000000,3813,8,56953.118167200000,2015,11.473,21.938000000000000,28.152,1.9500000000000000,21.169,0,29491204,0,1,21948334,1.2964990000000000,94.457251000000000
56952.1495572,11.92,0.030000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21925074006478,328.011814,22.574931000000000,3813,8,56952.152757200000,2014,11.932,22.123000000000000,28.199,1.8500000000000000,6.380,0,29491204,0,1,21925074,1.2964990000000000,94.457251000000000
56952.1180872,11.85,0.030000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21925048006365,328.011802,22.574967000000000,3813,8,56952.121287200000,2014,11.860,22.040000000000000,28.193,1.9500000000000000,5.323,0,29491204,0,1,21925048,1.2964990000000000,94.457251000000000
56951.1230772,11.33,0.080000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21906649006444,328.011812,22.574974000000000,3813,8,56951.126337200000,2013,11.320,22.046000000000000,28.205,1.9500000000000000,24.564,0,29491204,0,1,21906649,1.2964990000000000,94.457251000000000
56950.1490272,11.83,0.031000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21884705006334,328.011811,22.574906000000000,3813,8,56950.152347200000,2012,11.818,22.016000000000000,28.159,2.0500000000000000,16.545,0,29491204,0,1,21884705,1.2964990000000000,94.457251000000000
56950.1177972,11.80,0.031000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21884680007114,328.011810,22.574955000000000,3813,8,56950.121117200000,2012,11.801,22.103000000000000,28.146,1.8500000000000000,17.718,0,29491204,0,1,21884680,1.2964990000000000,94.457251000000000
56949.1492372,11.10,0.034000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21862247005966,328.011817,22.574974000000000,3813,8,56949.152607200000,2011,11.098,21.821000000000000,28.176,2.4500000000000000,24.645,0,29491206,0,1,21862247,1.2964990000000000,94.457251000000000
56955.1488072,11.75,0.046000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21983077007391,328.011779,22.574901000000000,3813,8,56955.151807200000,2017,11.761,22.029000000000000,28.195,1.8500000000000000,18.558,0,29491204,0,1,21983077,1.2964990000000000,94.457251000000000
56947.1712372,11.02,0.101000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21835542006441,328.011701,22.574875000000000,3813,8,56947.174727200000,2009,11.013,21.899000000000000,28.197,2.2500000000000000,27.950,0,29491206,0,1,21835542,1.2964990000000000,94.457251000000000
56946.1207772,11.66,0.030000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21827000006266,328.011731,22.574861000000000,3813,8,56946.124327200000,2008,11.665,21.916000000000000,28.204,2.1500000000000000,8.575,0,29491204,0,1,21827000,1.2964990000000000,94.457251000000000
56946.1521772,11.72,0.030000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21826970007172,328.011748,22.574856000000000,3813,8,56946.155717200000,2008,11.729,21.927000000000000,28.206,2.1500000000000000,18.687,0,29491204,0,1,21826970,1.2964990000000000,94.457251000000000
56945.1721672,11.80,0.207000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21817557006004,328.011725,22.574829000000000,3813,8,56945.175767200000,2007,11.856,21.669000000000000,28.048,2.3500000000000000,16.419,0,29491204,0,1,21817557,1.2964990000000000,94.457251000000000
56944.1523072,11.56,0.030000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21807465006334,328.011812,22.574943000000000,3813,8,56944.155957200000,2003,11.555,21.945000000000000,28.200,2.2500000000000000,19.672,0,29491204,0,1,21807465,1.2964990000000000,94.457251000000000
56944.1210572,11.42,0.030000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21807436005998,328.011789,22.574941000000000,3813,8,56944.124707200000,2003,11.424,22.014000000000000,28.191,2.0500000000000000,21.051,0,29491206,0,1,21807436,1.2964990000000000,94.457251000000000
56943.1932372,11.93,0.034000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21785426007210,328.011804,22.574929000000000,3813,8,56943.196947200000,2002,11.931,21.932000000000000,28.189,2.2500000000000000,9.376,0,29491204,0,1,21785426,1.2964990000000000,94.457251000000000
56943.2219772,11.68,0.034000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21785422005419,328.011797,22.574914000000000,3813,8,56943.225687200000,2002,11.677,21.547000000000000,28.181,2.2500000000000000,18.443,0,29491204,0,1,21785422,1.2964990000000000,94.457251000000000
56942.2518072,11.71,0.030000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21768518004840,328.011801,22.574943000000000,3813,8,56942.255557200000,2006,11.710,21.197000000000000,28.135,2.0500000000000000,17.374,0,29491204,0,1,21768518,1.2964990000000000,94.457251000000000
56942.2231272,11.64,0.030000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21768380004941,328.011818,22.574987000000000,3813,8,56942.226877200000,2006,11.644,21.323000000000000,28.142,1.9500000000000000,18.157,0,29491204,0,1,21768380,1.2964990000000000,94.457251000000000
55802.4699172,11.92,0.022000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,10464826005319,328.011719,22.574844000000000,3813,8,55802.474697200000,900,11.931,21.390000000000000,27.876,2.4500000000000000,14.768,0,29491204,0,1,10464826,1.2964990000000000,94.457251000000000
56920.2794472,11.22,0.035000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21436584006313,328.011821,22.574987000000000,3813,8,56920.284027200000,1983,11.223,22.048000000000000,28.194,2.2500000000000000,23.236,0,29491206,0,1,21436584,1.2964990000000000,94.457251000000000
56917.2853172,11.71,0.310000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21393510005728,328.011786,22.574918000000000,3813,8,56917.289967200000,1981,11.809,21.618000000000000,28.248,2.3500000000000000,17.636,0,29491204,0,1,21393510,1.2964990000000000,94.457251000000000
56917.2319672,11.05,0.310000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21393477004467,328.011797,22.574961000000000,3813,8,56917.236617200000,1981,11.705,21.618000000000000,28.271,2.3500000000000000,18.831,0,29491204,0,1,21393477,1.2964990000000000,94.457251000000000
56916.3287072,10.97,0.038000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21376716005623,328.011815,22.575012000000000,3813,8,56916.333377200000,1980,10.967,21.609000000000000,28.168,2.3500000000000000,25.526,0,29491206,0,1,21376716,1.2964990000000000,94.457251000000000
56907.1698472,11.96,0.026000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21270213003632,328.011753,22.574913000000000,3813,8,56907.174627200000,1972,11.985,20.334000000000000,28.113,2.0500000000000000,5.223,0,29491204,0,1,21270213,1.2964990000000000,94.457251000000000
56907.1420872,11.94,0.026000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,21270186003287,328.011750,22.574869000000000,3813,8,56907.146867200000,1972,11.955,20.211000000000000,28.054,2.0500000000000000,4.848,0,29491204,0,1,21270186,1.2964990000000000,94.457251000000000
55827.3832272,11.77,0.038000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,10534617005602,328.011752,22.574862000000000,3813,8,55827.387747200000,925,11.764,21.557000000000000,27.948,2.3500000000000000,15.861,0,16908292,0,1,10534617,1.2964990000000000,94.457251000000000
55827.3383672,11.75,0.038000000000000000,38131080000735,328.01189900000000,22.575012000000000,1,0,null,156,0,0,null,null,null,null,null,null,null,null,10534595006189,328.011781,22.574939000000000,3813,8,55827.342887200000,925,11.742,21.922000000000000,28.012,1.9500000000000000,16.800,0,29491204,0,1,10534595,1.2964990000000000,94.457251000000000
