# The All Sky Automated Survey Data
# gp@astrouw.edu.pl
#
# ################   DESCRIPTION   ###############
# The ASAS Photometric Catalog is maintained separately for each
# observed field, so for some stars independent 'datasets' of
# measurements are available. Their mean magnitudes may slightly differ.
#
# In each 'dataset' (starting with #dataset=0,1,2,...):
# 'desig' is ASAS designation (they may differ (by 1) at the last
# digit of the RA & DEC fields
# 'cra', 'cdec' are initial Catalog coordinates
# 'ndata' is number of points in each dataset
# 'cmag_*',  'cmer_*' are reference magnitude & dispersion for each aperture
# 'nskip_*' is number of data points skipped when calculating 'cmag' & 'cmer'
# 'ra', 'dec', 'mag', 'mer' are coordinates, magnitude and dispersion
# calculated directly from the data
#
# Each data row consists of the following fields:
# -  HJD-2450000
# -  magnitudes (one for each aperture)
# -  frame errors describing average photometric quality of the frame (for each aperture)
# -  frame number
# -  grade :
#    A - best data, no 29.999 (not measured) indication
#    B - mean data, no 29.999 (not measured) indication
#    C - A and B with 29.999 (not measured) indication
#    D - worst data, probably useless
#
# ######### LIGHT CURVE BEGINS NEXT LINE ###########
#ndata= 2
#dataset= 1 ; 1 F0136-08_291
#desig= 013209+0120.3
#cra=    1.535797  01:32:08.9
#cdec=   1.337907 01:20:16.5
#class= 0
#cmag_0=  9.783
#cmer_0=  0.000
#nskip_0= 0
#cmag_1=  9.822
#cmer_1=  0.000
#nskip_1= 0
#cmag_2=  9.839
#cmer_2=  0.000
#nskip_2= 0
#cmag_3=  9.852
#cmer_3=  0.000
#nskip_3= 0
#cmag_4=  9.853
#cmer_4=  0.000
#nskip_4= 0
#ra=    1.535797  01:32:08.9
#dec=   1.337907 01:20:16.5
#     HJD      MAG_2  MAG_0  MAG_1  MAG_3  MAG_4    MER_2 MER_0 MER_1 MER_3 MER_4 GRADE FRAME
   2122.84009  9.839  9.784  9.822  9.853  9.853    0.025 0.059 0.032 0.025 0.029  A 27527
#dataset= 1 ; 2 F0136-08_291
#desig= 013208+0120.5
#cra=    1.535540  01:32:07.9
#cdec=   1.341356 01:20:28.9
#class= 0
#cmag_0= 10.100
#cmer_0=  0.000
#nskip_0= 0
#cmag_1= 10.133
#cmer_1=  0.000
#nskip_1= 0
#cmag_2= 10.106
#cmer_2=  0.000
#nskip_2= 0
#cmag_3= 10.106
#cmer_3=  0.000
#nskip_3= 0
#cmag_4= 10.097
#cmer_4=  0.000
#nskip_4= 0
#ra=    1.535540  01:32:07.9
#dec=   1.341356 01:20:28.9
#     HJD      MAG_2  MAG_0  MAG_1  MAG_3  MAG_4    MER_2 MER_0 MER_1 MER_3 MER_4 GRADE FRAME
   2140.77676 10.107 10.101 10.133 10.106 10.098    0.046 0.072 0.053 0.047 0.049  B 30243
#ndata= 4
#dataset= 2 ; 1 F0104+00_335
#desig= 013208+0120.5
#cra=    1.535605  01:32:08.2
#cdec=   1.341698 01:20:30.1
#class= 0
#cmag_0=  9.836
#cmer_0=  0.325
#nskip_0= 0
#cmag_1=  9.821
#cmer_1=  0.358
#nskip_1= 0
#cmag_2=  9.824
#cmer_2=  0.350
#nskip_2= 0
#cmag_3=  9.814
#cmer_3=  0.351
#nskip_3= 0
#cmag_4=  9.813
#cmer_4=  0.355
#nskip_4= 0
#ra=    1.535605  01:32:08.2
#dec=   1.341698 01:20:30.1
#     HJD      MAG_2  MAG_0  MAG_1  MAG_3  MAG_4    MER_2 MER_0 MER_1 MER_3 MER_4 GRADE FRAME
   2473.86725  9.488  9.507  9.484  9.476  9.471    0.035 0.054 0.050 0.039 0.030  A 12784
   2490.80259 10.004 10.040  9.994  9.998 10.000    0.034 0.057 0.050 0.039 0.032  A 14138
   2558.78043  9.981  9.963  9.987  9.970  9.970    0.034 0.075 0.058 0.028 0.024  A 22106
#dataset= 2 ; 2 F0104+00_335
#desig= 013207+0120.7
#cra=    1.535342  01:32:07.2
#cdec=   1.344349 01:20:39.7
#class= 0
#cmag_0= 10.924
#cmer_0=  0.000
#nskip_0= 0
#cmag_1= 10.561
#cmer_1=  0.000
#nskip_1= 0
#cmag_2= 10.333
#cmer_2=  0.000
#nskip_2= 0
#cmag_3= 10.137
#cmer_3=  0.000
#nskip_3= 0
#cmag_4= 10.051
#cmer_4=  0.000
#nskip_4= 0
#ra=    1.535342  01:32:07.2
#dec=   1.344349 01:20:39.7
#     HJD      MAG_2  MAG_0  MAG_1  MAG_3  MAG_4    MER_2 MER_0 MER_1 MER_3 MER_4 GRADE FRAME
   2558.78043 10.334 10.924 10.561 10.137 10.052    0.034 0.075 0.058 0.028 0.024  A 22106
#ndata= 367
#dataset= 3 ; 1 F0136+00_336
#desig= 013208+0120.5
#cra=    1.535605  01:32:08.2
#cdec=   1.341698 01:20:30.1
#class= 0
#cmag_0=  9.824
#cmer_0=  0.237
#nskip_0= 62
#cmag_1=  9.768
#cmer_1=  0.263
#nskip_1= 7
#cmag_2=  9.952
#cmer_2=  0.069
#nskip_2= 132
#cmag_3=  9.758
#cmer_3=  0.261
#nskip_3= 7
#cmag_4=  9.757
#cmer_4=  0.260
#nskip_4= 7
#ra=    1.535602  01:32:08.2
#dec=   1.341598 01:20:29.8
#     HJD      MAG_2  MAG_0  MAG_1  MAG_3  MAG_4    MER_2 MER_0 MER_1 MER_3 MER_4 GRADE FRAME
   1900.59891  9.955  9.916  9.978  9.953  9.953    0.030 0.061 0.039 0.032 0.038  A 3335
   1907.54653  9.388  9.417  9.372  9.396  9.398    0.027 0.057 0.036 0.029 0.032  A 4272
   1920.53954  9.970  9.965  9.972  9.968  9.968    0.026 0.052 0.038 0.028 0.031  A 5420
   1923.55194  9.269  9.264  9.280  9.262  9.262    0.028 0.062 0.041 0.028 0.033  A 5901
   1931.53527  9.913  9.932  9.907  9.914  9.912    0.029 0.058 0.043 0.027 0.030  A 7219
   2053.93738 10.077 10.010 10.067 10.080 10.082    0.041 0.080 0.045 0.045 0.051  B 20155
   2068.89887 10.089 10.095 10.095 10.089 10.094    0.050 0.069 0.049 0.060 0.071  D 22189
   2094.84391 10.004  9.945  9.995 10.003 10.000    0.052 0.089 0.059 0.053 0.057  D 25090
