JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2438440.692,11.125,,,V,SCNA,,NA,,,,1,,Z,,,2438440.698,RR LEO,,STD,1,1966ApJ...143..774S,FCHA,
2438440.692,11.547,,,B,SCNA,,NA,,,,1,,Z,,,2438440.698,RR LEO,,STD,1,1966ApJ...143..774S,FCHA,
2438440.692,11.609,,,U,SCNA,,NA,,,,1,,Z,,,2438440.698,RR LEO,,STD,1,1966ApJ...143..774S,FCHA,
2438440.732,11.248,,,V,SCNA,,NA,,,,1,,Z,,,2438440.738,RR LEO,,STD,2,1966ApJ...143..774S,FCHA,
2438440.732,11.64,,,B,SCNA,,NA,,,,1,,Z,,,2438440.738,RR LEO,,STD,2,1966ApJ...143..774S,FCHA,
2438440.732,11.744,,,U,SCNA,,NA,,,,1,,Z,,,2438440.738,RR LEO,,STD,2,1966ApJ...143..774S,FCHA,
2438441.698,9.949,,,V,SCNA,,NA,,,,1,,Z,,,2438441.704,RR LEO,,STD,3,1966ApJ...143..774S,FCHA,
2438441.698,10.062,,,B,SCNA,,NA,,,,1,,Z,,,2438441.704,RR LEO,,STD,3,1966ApJ...143..774S,FCHA,
2438441.698,10.212,,,U,SCNA,,NA,,,,1,,Z,,,2438441.704,RR LEO,,STD,3,1966ApJ...143..774S,FCHA,
2438441.789,10.620,,,V,SCNA,,NA,,,,1,,Z,,,2438441.795,RR LEO,,STD,4,1966ApJ...143..774S,FCHA,
2438441.789,10.872,,,B,SCNA,,NA,,,,1,,Z,,,2438441.795,RR LEO,,STD,4,1966ApJ...143..774S,FCHA,
2438441.789,11.031,,,U,SCNA,,NA,,,,1,,Z,,,2438441.795,RR LEO,,STD,4,1966ApJ...143..774S,FCHA,
2438441.885,10.976,,,V,SCNA,,NA,,,,1,,Z,,,2438441.891,RR LEO,,STD,5,1966ApJ...143..774S,FCHA,
2438441.885,11.389,,,B,SCNA,,NA,,,,1,,Z,,,2438441.891,RR LEO,,STD,5,1966ApJ...143..774S,FCHA,
2438441.885,11.488,,,U,SCNA,,NA,,,,1,,Z,,,2438441.891,RR LEO,,STD,5,1966ApJ...143..774S,FCHA,
2438444.682,11.125,,,V,SCNA,,NA,,,,1,,Z,,,2438444.688,RR LEO,,STD,6,1966ApJ...143..774S,FCHA,
2438444.682,11.531,,,B,SCNA,,NA,,,,1,,Z,,,2438444.688,RR LEO,,STD,6,1966ApJ...143..774S,FCHA,
2438444.682,11.635,,,U,SCNA,,NA,,,,1,,Z,,,2438444.688,RR LEO,,STD,6,1966ApJ...143..774S,FCHA,
2439139.726,9.7,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439139.742,10.0,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439139.772,9.9,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439139.791,10.1,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439140.631,9.8,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439140.661,10.0,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439140.688,10.1,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439140.712,10.1,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439140.750,10.4,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439140.779,10.6,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439140.817,10.8,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439140.878,11.1,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439140.897,11.2,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439140.919,11.2,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439140.940,11.1,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439144.613,10.8,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439144.624,10.8,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439144.640,11.1,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439144.658,11.1,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439144.678,10.7,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439144.689,10.2,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439144.703,9.8,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
2439144.713,9.7,,,Vis.,BM,,NA,,NA,,,,Z,,,,RR LEO,,STD,,,,
