JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2438449.756,10.112,,,V,SCNA,,NA,,,,1,,Z,,,2438449.761,TU UMA,,STD,1,1966ApJ...143..774S,FCHA,
2438449.756,10.524,,,B,SCNA,,NA,,,,1,,Z,,,2438449.761,TU UMA,,STD,1,1966ApJ...143..774S,FCHA,
2438449.756,10.534,,,U,SCNA,,NA,,,,1,,Z,,,2438449.761,TU UMA,,STD,1,1966ApJ...143..774S,FCHA,
2438449.766,10.098,,,V,SCNA,,NA,,,,1,,Z,,,2438449.771,TU UMA,,STD,2,1966ApJ...143..774S,FCHA,
2438449.766,10.524,,,B,SCNA,,NA,,,,1,,Z,,,2438449.771,TU UMA,,STD,2,1966ApJ...143..774S,FCHA,
2438449.766,10.567,,,U,SCNA,,NA,,,,1,,Z,,,2438449.771,TU UMA,,STD,2,1966ApJ...143..774S,FCHA,
2438449.789,10.103,,,V,SCNA,,NA,,,,1,,Z,,,2438449.794,TU UMA,,STD,3,1966ApJ...143..774S,FCHA,
2438449.789,10.512,,,B,SCNA,,NA,,,,1,,Z,,,2438449.794,TU UMA,,STD,3,1966ApJ...143..774S,FCHA,
2438449.789,10.508,,,U,SCNA,,NA,,,,1,,Z,,,2438449.794,TU UMA,,STD,3,1966ApJ...143..774S,FCHA,
2438449.839,10.145,,,V,SCNA,,NA,,,,1,,Z,,,2438449.844,TU UMA,,STD,4,1966ApJ...143..774S,FCHA,
2438449.839,10.558,,,B,SCNA,,NA,,,,1,,Z,,,2438449.844,TU UMA,,STD,4,1966ApJ...143..774S,FCHA,
2438449.839,10.586,,,U,SCNA,,NA,,,,1,,Z,,,2438449.844,TU UMA,,STD,4,1966ApJ...143..774S,FCHA,
2438449.892,10.208,,,V,SCNA,,NA,,,,1,,Z,,,2438449.897,TU UMA,,STD,5,1966ApJ...143..774S,FCHA,
2438449.892,10.62,,,B,SCNA,,NA,,,,1,,Z,,,2438449.897,TU UMA,,STD,5,1966ApJ...143..774S,FCHA,
2438449.892,10.62,,,U,SCNA,,NA,,,,1,,Z,,,2438449.897,TU UMA,,STD,5,1966ApJ...143..774S,FCHA,
2438450.001,9.388,,,V,SCNA,,NA,,,,1,,Z,,,2438450.006,TU UMA,,STD,6,1966ApJ...143..774S,FCHA,
2438450.001,9.61,,,B,SCNA,,NA,,,,1,,Z,,,2438450.006,TU UMA,,STD,6,1966ApJ...143..774S,FCHA,
2438450.001,9.687,,,U,SCNA,,NA,,,,1,,Z,,,2438450.006,TU UMA,,STD,6,1966ApJ...143..774S,FCHA,
2438469.666,9.904,,,V,SCNA,,NA,,,,1,,Z,,,2438469.671,TU UMA,,STD,7,1966ApJ...143..774S,FCHA,
2438469.666,10.269,,,B,SCNA,,NA,,,,1,,Z,,,2438469.671,TU UMA,,STD,7,1966ApJ...143..774S,FCHA,
2438469.666,10.335,,,U,SCNA,,NA,,,,1,,Z,,,2438469.671,TU UMA,,STD,7,1966ApJ...143..774S,FCHA,
2438469.72,10.011,,,V,SCNA,,NA,,,,1,,Z,,,2438469.73,TU UMA,,STD,8,1966ApJ...143..774S,FCHA,
2438469.72,10.433,,,B,SCNA,,NA,,,,1,,Z,,,2438469.73,TU UMA,,STD,8,1966ApJ...143..774S,FCHA,
2438469.72,10.505,,,U,SCNA,,NA,,,,1,,Z,,,2438469.73,TU UMA,,STD,8,1966ApJ...143..774S,FCHA,
2438474.65,9.796,,,V,SCNA,,NA,,,,1,,Z,,,2438474.65,TU UMA,,STD,9,1966ApJ...143..774S,FCHA,
2438474.65,10.122,,,B,SCNA,,NA,,,,1,,Z,,,2438474.65,TU UMA,,STD,9,1966ApJ...143..774S,FCHA,
2438474.65,10.191,,,U,SCNA,,NA,,,,1,,Z,,,2438474.65,TU UMA,,STD,9,1966ApJ...143..774S,FCHA,
2438474.67,9.835,,,V,SCNA,,NA,,,,1,,Z,,,2438474.67,TU UMA,,STD,10,1966ApJ...143..774S,FCHA,
2438474.67,10.195,,,B,SCNA,,NA,,,,1,,Z,,,2438474.67,TU UMA,,STD,10,1966ApJ...143..774S,FCHA,
2438474.67,10.259,,,U,SCNA,,NA,,,,1,,Z,,,2438474.67,TU UMA,,STD,10,1966ApJ...143..774S,FCHA,
2438474.703,9.920,,,V,SCNA,,NA,,,,1,,Z,,,2438474.708,TU UMA,,STD,11,1966ApJ...143..774S,FCHA,
2438474.703,10.319,,,B,SCNA,,NA,,,,1,,Z,,,2438474.708,TU UMA,,STD,11,1966ApJ...143..774S,FCHA,
2438474.703,10.378,,,U,SCNA,,NA,,,,1,,Z,,,2438474.708,TU UMA,,STD,11,1966ApJ...143..774S,FCHA,
2450512.5646,10.18,0.06,,V,CK,,SAO62583,HIP56054,COMP=8.90 V MAG,USED 50 MM F 3.5 LENS W/ST6 CCD,0,,Z,9.15,7.36,,TU UMA,AAVSO,STD,,,,
2450512.5694,10.17,0.06,,V,CK,,SAO62583,HIP56054,COMP=8.90 V MAG,USED 50 MM F 3.5 LENS W/ST6 CCD,0,,Z,9.18,7.34,,TU UMA,AAVSO,STD,,,,
2450512.5750,10.17,0.06,,V,CK,,SAO62583,HIP56054,COMP=8.90 V MAG,USED 50 MM F 3.5 LENS W/ST6 CCD,0,,Z,9.34,7.60,,TU UMA,AAVSO,STD,,,,
2450512.5819,10.09,0.06,,V,CK,,SAO62583,HIP56054,COMP=8.90 V MAG,USED 50 MM F 3.5 LENS W/ST6 CCD,0,,Z,9.10,7.34,,TU UMA,AAVSO,STD,,,,
2450512.5889,10.07,0.06,,V,CK,,SAO62583,HIP56054,COMP=8.90 V MAG,USED 50 MM F 3.5 LENS W/ST6 CCD,0,,Z,9.06,7.27,,TU UMA,AAVSO,STD,,,,
2450512.5958,9.87,0.06,,V,CK,,SAO62583,HIP56054,COMP=8.90 V MAG,USED 50 MM F 3.5 LENS W/ST6 CCD,0,,Z,9.10,7.24,,TU UMA,AAVSO,STD,,,,
2450512.6028,9.80,0.06,,V,CK,,SAO62583,HIP56054,COMP=8.90 V MAG,USED 50 MM F 3.5 LENS W/ST6 CCD,0,,Z,9.07,7.31,,TU UMA,AAVSO,STD,,,,
2450512.6139,9.74,0.06,,V,CK,,SAO62583,HIP56054,COMP=8.90 V MAG,USED 50 MM F 3.5 LENS W/ST6 CCD,0,,Z,9.07,7.34,,TU UMA,AAVSO,STD,,,,
2450512.6201,9.48,0.06,,V,CK,,SAO62583,HIP56054,COMP=8.90 V MAG,USED 50 MM F 3.5 LENS W/ST6 CCD,0,,Z,9.21,7.34,,TU UMA,AAVSO,STD,,,,
2450512.6271,9.45,0.06,,V,CK,,SAO62583,HIP56054,COMP=8.90 V MAG,USED 50 MM F 3.5 LENS W/ST6 CCD,0,,Z,9.12,7.30,,TU UMA,AAVSO,STD,,,,
2450512.6354,9.39,0.06,,V,CK,,SAO62583,HIP56054,COMP=8.90 V MAG,USED 50 MM F 3.5 LENS W/ST6 CCD,0,,Z,9.12,7.31,,TU UMA,AAVSO,STD,,,,
2450512.6458,9.14,0.06,,V,CK,,SAO62583,HIP56054,COMP=8.90 V MAG,USED 50 MM F 3.5 LENS W/ST6 CCD,0,,Z,9.14,7.29,,TU UMA,AAVSO,STD,,,,
2450512.6563,9.31,0.06,,V,CK,,SAO62583,HIP56054,COMP=8.90 V MAG,USED 50 MM F 3.5 LENS W/ST6 CCD,0,,Z,9.51,7.67,,TU UMA,AAVSO,STD,,,,
2450512.6750,9.41,0.06,,V,CK,,SAO62583,HIP56054,COMP=8.90 V MAG,USED 50 MM F 3.5 LENS W/ST6 CCD,0,,Z,9.12,7.34,,TU UMA,AAVSO,STD,,,,
2450512.6889,9.49,0.06,,V,CK,,SAO62583,HIP56054,COMP=8.90 V MAG,USED 50 MM F 3.5 LENS W/ST6 CCD,0,,Z,10.74,8.96,,TU UMA,AAVSO,STD,,,,
2454165.7976,10.189,,,V,DKS,,941,,TYCHO,ERR=0.003 COMP=GSC 1984-0145,,,Z,,,,TU UMA,,STD,,,,
2454165.7981,10.174,,,V,DKS,,941,,TYCHO,ERR=0.003 COMP=GSC 1984-0145,,,Z,,,,TU UMA,,STD,,,,
2454165.7987,10.192,,,V,DKS,,941,,TYCHO,ERR=0.003 COMP=GSC 1984-0145,,,Z,,,,TU UMA,,STD,,,,
2454165.7994,10.188,,,V,DKS,,941,,TYCHO,ERR=0.003 COMP=GSC 1984-0145,,,Z,,,,TU UMA,,STD,,,,
2454165.7998,10.184,,,V,DKS,,941,,TYCHO,ERR=0.003 COMP=GSC 1984-0145,,,Z,,,,TU UMA,,STD,,,,
2454165.8003,10.195,,,V,DKS,,941,,TYCHO,ERR=0.003 COMP=GSC 1984-0145,,,Z,,,,TU UMA,,STD,,,,
2454165.8007,10.183,,,V,DKS,,941,,TYCHO,ERR=0.003 COMP=GSC 1984-0145,,,Z,,,,TU UMA,,STD,,,,
2454165.8011,10.191,,,V,DKS,,941,,TYCHO,ERR=0.003 COMP=GSC 1984-0145,,,Z,,,,TU UMA,,STD,,,,
2454165.8016,10.188,,,V,DKS,,941,,TYCHO,ERR=0.003 COMP=GSC 1984-0145,,,Z,,,,TU UMA,,STD,,,,
2454165.8020,10.186,,,V,DKS,,941,,TYCHO,ERR=0.003 COMP=GSC 1984-0145,,,Z,,,,TU UMA,,STD,,,,
