JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456959.4549,12.231,0.018,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4560,12.288,0.017,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4570,12.240,0.031,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4581,12.243,0.043,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4592,12.258,0.029,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4603,12.234,0.046,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4613,12.204,0.028,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4624,12.237,0.017,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4635,12.231,0.033,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4646,12.213,0.038,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4656,12.252,0.024,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4667,12.213,0.045,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4678,12.228,0.027,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4688,12.250,0.021,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4699,12.225,0.033,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4710,12.215,0.116,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4721,12.191,0.032,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4732,12.243,0.012,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4742,12.235,0.016,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4753,12.252,0.024,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4764,12.178,0.089,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4775,12.210,0.027,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4785,12.207,0.021,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4796,12.240,0.035,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4807,12.211,0.018,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4818,12.215,0.039,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4828,12.200,0.027,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4839,12.223,0.016,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4850,12.193,0.034,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4860,12.201,0.027,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4871,12.200,0.034,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4882,12.173,0.016,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4893,12.206,0.032,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4903,12.233,0.018,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4914,12.189,0.051,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4925,12.216,0.020,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4936,12.192,0.049,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4947,12.211,0.019,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4957,12.202,0.022,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.4968,12.168,0.042,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.5018,12.177,0.012,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.5029,12.183,0.033,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.5040,12.165,0.023,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.5051,12.184,0.024,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
2456959.5061,12.145,0.034,,V,MMN,,UCAC4 539-004003,UCAC4 538-004053,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.362,11.163,,RW ARI,UAI,STD,,,,
