MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1118012012816,12.24,0.05,34.01552,17.53300,53706.29656,0
1118012012816,12.25,0.05,34.01550,17.53302,53706.30590,0
1118012012816,12.27,0.05,34.01554,17.53302,53706.31543,0
1118012012816,12.29,0.05,34.01551,17.53301,53706.32483,0
1118012012816,11.96,0.05,34.01551,17.53302,53727.11536,0
1118012012816,11.90,0.05,34.01551,17.53302,53727.12016,0
1118012012816,11.94,0.05,34.01552,17.53303,53727.12494,0
1118012012816,11.93,0.05,34.01549,17.53304,53727.12973,0
1118012012816,12.03,0.05,34.01548,17.53301,53733.14297,0
1118012012816,12.03,0.05,34.01548,17.53301,53733.14934,0
1118012012816,12.05,0.05,34.01552,17.53302,53733.15585,0
1118012012816,12.05,0.05,34.01552,17.53301,53733.16223,0
1118012012816,12.31,0.05,34.01552,17.53301,53699.25441,0
1118012012816,12.36,0.05,34.01553,17.53300,53699.26188,0
1118012012816,12.34,0.05,34.01551,17.53300,53699.26923,0
1118012012816,12.34,0.05,34.01552,17.53302,53699.27672,0
1118012012816,12.32,0.05,34.01552,17.53301,53672.32193,0
1118012012816,12.34,0.05,34.01552,17.53301,53672.32949,0
1118012012816,12.32,0.05,34.01551,17.53301,53672.33705,0
1118012012816,12.35,0.05,34.01553,17.53301,53672.34447,0
1118012012816,11.80,0.05,34.01548,17.53299,53619.41108,0
1118012012816,11.67,0.05,34.01550,17.53299,53619.41754,0
1118012012816,11.68,0.05,34.01550,17.53299,53619.42400,0
1118012012816,11.84,0.05,34.01548,17.53299,53619.43046,0
1118012012816,12.06,0.05,34.01548,17.53301,53637.40619,0
1118012012816,12.03,0.05,34.01551,17.53303,53637.41431,0
1118012012816,11.99,0.05,34.01551,17.53303,53637.42244,0
1118012012816,12.02,0.05,34.01552,17.53302,53637.43053,0
1118012012816,12.08,0.05,34.01551,17.53300,53643.37422,0
1118012012816,12.03,0.05,34.01550,17.53301,53643.38357,0
1118012012816,12.05,0.05,34.01552,17.53302,53643.39287,0
1118012012816,12.06,0.05,34.01552,17.53304,53643.40216,0
1118012012816,12.37,0.05,34.01550,17.53300,53976.38970,0
1118012012816,12.37,0.05,34.01548,17.53302,53976.39514,0
1118012012816,12.38,0.05,34.01549,17.53300,53976.40058,0
1118012012816,12.33,0.05,34.01550,17.53302,53976.40604,0
1118012012816,12.02,0.05,34.01555,17.53302,54079.28676,0
1118012012816,11.68,0.05,34.01552,17.53300,54079.29252,0
1118012012816,12.51,0.06,34.01543,17.53298,54079.30412,0
1118012012816,12.15,0.05,34.01551,17.53299,53759.11090,0
1118012012816,12.18,0.05,34.01550,17.53304,53759.11518,0
1118012012816,12.23,0.05,34.01550,17.53302,53759.11946,0
1118012012816,12.11,0.05,34.01550,17.53300,53759.12375,0
1118012012816,12.30,0.05,34.01550,17.53301,54053.23940,0
1118012012816,12.15,0.05,34.01550,17.53301,54053.24585,0
1118012012816,12.13,0.05,34.01551,17.53302,54053.25232,0
1118012012816,12.25,0.05,34.01549,17.53300,54053.25877,0
1118012012816,12.30,0.05,34.01552,17.53304,53993.43780,0
1118012012816,12.29,0.05,34.01554,17.53304,53993.44441,0
1118012012816,12.19,0.05,34.01555,17.53302,53993.45105,0
