JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2438315.860,9.631,,,V,SCNA,,NA,,,,1,,Z,,,2438315.865,SV ERI,,STD,1,1966ApJ...143..774S,FCHA,
2438315.860,9.934,,,B,SCNA,,NA,,,,1,,Z,,,2438315.865,SV ERI,,STD,1,1966ApJ...143..774S,FCHA,
2438315.860,10.021,,,U,SCNA,,NA,,,,1,,Z,,,2438315.865,SV ERI,,STD,1,1966ApJ...143..774S,FCHA,
2438315.869,9.661,,,V,SCNA,,NA,,,,1,,Z,,,2438315.874,SV ERI,,STD,2,1966ApJ...143..774S,FCHA,
2438315.869,9.939,,,B,SCNA,,NA,,,,1,,Z,,,2438315.874,SV ERI,,STD,2,1966ApJ...143..774S,FCHA,
2438315.869,10.043,,,U,SCNA,,NA,,,,1,,Z,,,2438315.874,SV ERI,,STD,2,1966ApJ...143..774S,FCHA,
2438315.920,9.559,,,V,SCNA,,NA,,,,1,,Z,,,2438315.925,SV ERI,,STD,3,1966ApJ...143..774S,FCHA,
2438315.920,9.826,,,B,SCNA,,NA,,,,1,,Z,,,2438315.925,SV ERI,,STD,3,1966ApJ...143..774S,FCHA,
2438315.920,9.913,,,U,SCNA,,NA,,,,1,,Z,,,2438315.925,SV ERI,,STD,3,1966ApJ...143..774S,FCHA,
2438326.781,9.900,,,V,SCNA,,NA,,,,1,,Z,,,2438326.786,SV ERI,,STD,4,1966ApJ...143..774S,FCHA,
2438326.781,10.22,,,B,SCNA,,NA,,,,1,,Z,,,2438326.786,SV ERI,,STD,4,1966ApJ...143..774S,FCHA,
2438326.781,10.266,,,U,SCNA,,NA,,,,1,,Z,,,2438326.786,SV ERI,,STD,4,1966ApJ...143..774S,FCHA,
2438326.831,9.959,,,V,SCNA,,NA,,,,1,,Z,,,2438326.836,SV ERI,,STD,5,1966ApJ...143..774S,FCHA,
2438326.831,10.336,,,B,SCNA,,NA,,,,1,,Z,,,2438326.836,SV ERI,,STD,5,1966ApJ...143..774S,FCHA,
2438326.831,10.401,,,U,SCNA,,NA,,,,1,,Z,,,2438326.836,SV ERI,,STD,5,1966ApJ...143..774S,FCHA,
2438326.919,10.083,,,V,SCNA,,NA,,,,1,,Z,,,2438326.924,SV ERI,,STD,6,1966ApJ...143..774S,FCHA,
2438326.919,10.52,,,B,SCNA,,NA,,,,1,,Z,,,2438326.924,SV ERI,,STD,6,1966ApJ...143..774S,FCHA,
2438326.919,10.518,,,U,SCNA,,NA,,,,1,,Z,,,2438326.924,SV ERI,,STD,6,1966ApJ...143..774S,FCHA,
2438410.633,10.231,,,V,SCNA,,NA,,,,1,,Z,,,2438410.634,SV ERI,,STD,7,1966ApJ...143..774S,FCHA,
2438410.633,10.683,,,B,SCNA,,NA,,,,1,,Z,,,2438410.634,SV ERI,,STD,7,1966ApJ...143..774S,FCHA,
2438410.633,10.67,,,U,SCNA,,NA,,,,1,,Z,,,2438410.634,SV ERI,,STD,7,1966ApJ...143..774S,FCHA,
2438410.658,10.201,,,V,SCNA,,NA,,,,1,,Z,,,2438410.659,SV ERI,,STD,8,1966ApJ...143..774S,FCHA,
2438410.658,10.636,,,B,SCNA,,NA,,,,1,,Z,,,2438410.659,SV ERI,,STD,8,1966ApJ...143..774S,FCHA,
2438410.658,10.625,,,U,SCNA,,NA,,,,1,,Z,,,2438410.659,SV ERI,,STD,8,1966ApJ...143..774S,FCHA,
2456620.66840,9.761,0.002,,V,SAH,,ENSEMBLE,,GUIDE 8,,0,,Z,,,,SV ERI,AAVSO,STD,,,,
2456620.67135,9.746,0.002,,V,SAH,,ENSEMBLE,,GUIDE 8,,0,,Z,,,,SV ERI,AAVSO,STD,,,,
2456620.67283,9.741,0.002,,V,SAH,,ENSEMBLE,,GUIDE 8,,0,,Z,,,,SV ERI,AAVSO,STD,,,,
2456620.67430,9.727,0.002,,V,SAH,,ENSEMBLE,,GUIDE 8,,0,,Z,,,,SV ERI,AAVSO,STD,,,,
2456620.67579,9.722,0.002,,V,SAH,,ENSEMBLE,,GUIDE 8,,0,,Z,,,,SV ERI,AAVSO,STD,,,,
2456620.67728,9.722,0.002,,V,SAH,,ENSEMBLE,,GUIDE 8,,0,,Z,,,,SV ERI,AAVSO,STD,,,,
2456620.67876,9.708,0.002,,V,SAH,,ENSEMBLE,,GUIDE 8,,0,,Z,,,,SV ERI,AAVSO,STD,,,,
2456620.68025,9.706,0.002,,V,SAH,,ENSEMBLE,,GUIDE 8,,0,,Z,,,,SV ERI,AAVSO,STD,,,,
2456620.68172,9.690,0.002,,V,SAH,,ENSEMBLE,,GUIDE 8,,0,,Z,,,,SV ERI,AAVSO,STD,,,,
2456620.68320,9.693,0.002,,V,SAH,,ENSEMBLE,,GUIDE 8,,0,,Z,,,,SV ERI,AAVSO,STD,,,,
2456620.68468,9.691,0.002,,V,SAH,,ENSEMBLE,,GUIDE 8,,0,,Z,,,,SV ERI,AAVSO,STD,,,,
2456620.68615,9.676,0.002,,V,SAH,,ENSEMBLE,,GUIDE 8,,0,,Z,,,,SV ERI,AAVSO,STD,,,,
2456620.68763,9.661,0.002,,V,SAH,,ENSEMBLE,,GUIDE 8,,0,,Z,,,,SV ERI,AAVSO,STD,,,,
2456620.68911,9.668,0.002,,V,SAH,,ENSEMBLE,,GUIDE 8,,0,,Z,,,,SV ERI,AAVSO,STD,,,,
2456620.69058,9.662,0.002,,V,SAH,,ENSEMBLE,,GUIDE 8,,0,,Z,,,,SV ERI,AAVSO,STD,,,,
2456620.69205,9.654,0.002,,V,SAH,,ENSEMBLE,,GUIDE 8,,0,,Z,,,,SV ERI,AAVSO,STD,,,,
2456620.69354,9.643,0.002,,V,SAH,,ENSEMBLE,,GUIDE 8,,0,,Z,,,,SV ERI,AAVSO,STD,,,,
