MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1012017050836,10.88,0.05,47.96838,-11.35449,54390.35677,0
1012017050836,10.38,0.05,47.96736,-11.35434,54526.09121,0
3011024008586,10.03,0.05,47.96648,-11.35398,53581.79018,0
3011024008586,10.01,0.05,47.96638,-11.35398,53581.79706,0
3011024008586,10.02,0.05,47.96648,-11.35398,53581.80402,0
3011024008586,10.04,0.05,47.96643,-11.35399,53581.81091,0
3011024008586, 9.73,0.05,47.96620,-11.35400,53952.75347,0
3011024008586, 9.74,0.05,47.96629,-11.35400,53952.76208,0
3011024008586, 9.75,0.05,47.96615,-11.35398,53952.77072,0
3011024008586, 9.79,0.05,47.96649,-11.35400,53952.77957,0
3011024008586, 9.63,0.05,47.96594,-11.35404,54306.75750,0
3011024008586, 9.65,0.05,47.96608,-11.35403,54306.76750,0
3011024008586, 9.64,0.05,47.96584,-11.35403,54306.77757,0
3011024008586, 9.69,0.05,47.96598,-11.35403,54306.78755,0
3011024008586, 9.82,0.05,47.96674,-11.35405,54168.41045,0
3011024008586, 9.83,0.05,47.96667,-11.35403,54168.41578,0
3011024008586, 9.82,0.05,47.96671,-11.35405,54168.42110,0
3011024008586, 9.87,0.05,47.96669,-11.35401,54168.42646,0
3011024008586, 9.93,0.05,47.96649,-11.35403,54641.81388,0
3011024008586, 9.95,0.05,47.96649,-11.35403,54641.82094,0
3011024008586, 9.94,0.05,47.96649,-11.35404,54641.82809,0
3011024008586, 9.95,0.05,47.96639,-11.35403,54641.83519,0
3011024008586, 9.98,0.05,47.96655,-11.35406,55216.50432,0
3011024008586, 9.98,0.05,47.96661,-11.35407,55216.52294,0
3011024008586, 9.95,0.05,47.96667,-11.35408,55271.38837,0
3011024008586,10.02,0.05,47.96631,-11.35407,55601.43510,0
3011024008586, 9.99,0.05,47.96656,-11.35406,55216.51052,0
3011024008586, 9.99,0.05,47.96656,-11.35405,55216.51673,0
3011024008586, 9.95,0.05,47.96671,-11.35406,55271.39264,0
3011024008586, 9.95,0.05,47.96663,-11.35406,55271.39690,0
3011024008586, 9.94,0.05,47.96678,-11.35403,55271.40120,0
