JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2438440.684,9.517,,,V,SCNA,,NA,,,,1,,Z,,,2438440.689,TT LYN,,STD,1,1966ApJ...143..774S,FCHA,
2438440.684,9.764,,,B,SCNA,,NA,,,,1,,Z,,,2438440.689,TT LYN,,STD,1,1966ApJ...143..774S,FCHA,
2438440.684,9.892,,,U,SCNA,,NA,,,,1,,Z,,,2438440.689,TT LYN,,STD,1,1966ApJ...143..774S,FCHA,
2438440.742,9.670,,,V,SCNA,,NA,,,,1,,Z,,,2438440.747,TT LYN,,STD,2,1966ApJ...143..774S,FCHA,
2438440.742,9.98,,,B,SCNA,,NA,,,,1,,Z,,,2438440.747,TT LYN,,STD,2,1966ApJ...143..774S,FCHA,
2438440.742,10.087,,,U,SCNA,,NA,,,,1,,Z,,,2438440.747,TT LYN,,STD,2,1966ApJ...143..774S,FCHA,
2438441.68,10.051,,,V,SCNA,,NA,,,,1,,Z,,,2438441.68,TT LYN,,STD,3,1966ApJ...143..774S,FCHA,
2438441.68,10.466,,,B,SCNA,,NA,,,,1,,Z,,,2438441.68,TT LYN,,STD,3,1966ApJ...143..774S,FCHA,
2438441.68,10.471,,,U,SCNA,,NA,,,,1,,Z,,,2438441.68,TT LYN,,STD,3,1966ApJ...143..774S,FCHA,
2438441.738,10.165,,,V,SCNA,,NA,,,,1,,Z,,,2438441.743,TT LYN,,STD,4,1966ApJ...143..774S,FCHA,
2438441.738,10.592,,,B,SCNA,,NA,,,,1,,Z,,,2438441.743,TT LYN,,STD,4,1966ApJ...143..774S,FCHA,
2438441.738,10.663,,,U,SCNA,,NA,,,,1,,Z,,,2438441.743,TT LYN,,STD,4,1966ApJ...143..774S,FCHA,
2438443.792,9.779,,,V,SCNA,,NA,,,,1,,Z,,,2438443.797,TT LYN,,STD,5,1966ApJ...143..774S,FCHA,
2438443.792,10.148,,,B,SCNA,,NA,,,,1,,Z,,,2438443.797,TT LYN,,STD,5,1966ApJ...143..774S,FCHA,
2438443.792,10.263,,,U,SCNA,,NA,,,,1,,Z,,,2438443.797,TT LYN,,STD,5,1966ApJ...143..774S,FCHA,
2438443.85,9.894,,,V,SCNA,,NA,,,,1,,Z,,,2438443.85,TT LYN,,STD,6,1966ApJ...143..774S,FCHA,
2438443.85,10.326,,,B,SCNA,,NA,,,,1,,Z,,,2438443.85,TT LYN,,STD,6,1966ApJ...143..774S,FCHA,
2438443.85,10.414,,,U,SCNA,,NA,,,,1,,Z,,,2438443.85,TT LYN,,STD,6,1966ApJ...143..774S,FCHA,
2438463.718,10.061,,,V,SCNA,,NA,,,,1,,Z,,,2438463.722,TT LYN,,STD,7,1966ApJ...143..774S,FCHA,
2438463.718,10.496,,,B,SCNA,,NA,,,,1,,Z,,,2438463.722,TT LYN,,STD,7,1966ApJ...143..774S,FCHA,
2438463.718,10.531,,,U,SCNA,,NA,,,,1,,Z,,,2438463.722,TT LYN,,STD,7,1966ApJ...143..774S,FCHA,
2438463.730,10.062,,,V,SCNA,,NA,,,,1,,Z,,,2438463.734,TT LYN,,STD,8,1966ApJ...143..774S,FCHA,
2438463.730,10.501,,,B,SCNA,,NA,,,,1,,Z,,,2438463.734,TT LYN,,STD,8,1966ApJ...143..774S,FCHA,
2438463.730,10.526,,,U,SCNA,,NA,,,,1,,Z,,,2438463.734,TT LYN,,STD,8,1966ApJ...143..774S,FCHA,
2438463.745,10.047,,,V,SCNA,,NA,,,,1,,Z,,,2438463.749,TT LYN,,STD,9,1966ApJ...143..774S,FCHA,
2438463.745,10.479,,,B,SCNA,,NA,,,,1,,Z,,,2438463.749,TT LYN,,STD,9,1966ApJ...143..774S,FCHA,
2438463.745,10.511,,,U,SCNA,,NA,,,,1,,Z,,,2438463.749,TT LYN,,STD,9,1966ApJ...143..774S,FCHA,
2438463.755,10.044,,,V,SCNA,,NA,,,,1,,Z,,,2438463.759,TT LYN,,STD,10,1966ApJ...143..774S,FCHA,
2438463.755,10.479,,,B,SCNA,,NA,,,,1,,Z,,,2438463.759,TT LYN,,STD,10,1966ApJ...143..774S,FCHA,
2438463.755,10.515,,,U,SCNA,,NA,,,,1,,Z,,,2438463.759,TT LYN,,STD,10,1966ApJ...143..774S,FCHA,
2438469.612,10.023,,,V,SCNA,,NA,,,,1,,Z,,,2438469.615,TT LYN,,STD,11,1966ApJ...143..774S,FCHA,
2438469.612,10.471,,,B,SCNA,,NA,,,,1,,Z,,,2438469.615,TT LYN,,STD,11,1966ApJ...143..774S,FCHA,
2438469.612,10.506,,,U,SCNA,,NA,,,,1,,Z,,,2438469.615,TT LYN,,STD,11,1966ApJ...143..774S,FCHA,
2438469.64,10.029,,,V,SCNA,,NA,,,,1,,Z,,,2438469.64,TT LYN,,STD,12,1966ApJ...143..774S,FCHA,
2438469.64,10.497,,,B,SCNA,,NA,,,,1,,Z,,,2438469.64,TT LYN,,STD,12,1966ApJ...143..774S,FCHA,
2438469.64,10.527,,,U,SCNA,,NA,,,,1,,Z,,,2438469.64,TT LYN,,STD,12,1966ApJ...143..774S,FCHA,
2453787.6348,9.693,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6363,9.694,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6377,9.708,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6392,9.699,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6406,9.703,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6421,9.705,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6435,9.720,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6449,9.715,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6464,9.717,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6478,9.712,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6493,9.739,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6507,9.740,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6522,9.734,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6536,9.716,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6551,9.734,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6565,9.754,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6580,9.755,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6594,9.732,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6609,9.739,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
2453787.6623,9.747,,,V,DKS,,974,,GSC,"""ERR: 0.005, COMP=GSC 2989-1720""",,,Z,,,,TT LYN,,STD,,,,
