JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2453806.34328,11.335,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.34440,11.342,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.34552,11.337,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.34666,11.331,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.34775,11.336,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.34888,11.364,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.35001,11.360,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.35113,11.365,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.35227,11.370,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.35333,11.372,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.35447,11.384,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.35553,11.377,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.35663,11.386,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.35774,11.377,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.35884,11.405,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.35999,11.400,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.36106,11.410,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.36219,11.409,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.36326,11.418,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.36435,11.410,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.36550,11.428,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.36662,11.425,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.36774,11.417,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.36888,11.427,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.37000,11.433,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.37108,11.451,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.37221,11.445,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.37333,11.470,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.37447,11.454,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.37556,11.465,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.37668,11.462,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.37778,11.468,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.37888,11.470,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.38003,11.478,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.38112,11.473,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.38220,11.478,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.38332,11.496,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.38447,11.493,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.38557,11.486,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.38664,11.503,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.38779,11.503,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.38885,11.506,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.38998,11.526,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.39110,11.515,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.39223,11.518,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.39336,11.517,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.39448,11.520,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.39560,11.533,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
