JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2453766.395,11.4,,,Vis.,MOI,,,,,,,,Z,,,,TW LYN,AFOEV,STD,,,,
2453773.5089,12.214,,,V,DKS,,113,,GSC,"""ERR: 0.007, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5103,12.206,,,V,DKS,,113,,GSC,"""ERR: 0.007, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5117,12.182,,,V,DKS,,113,,GSC,"""ERR: 0.007, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5131,12.168,,,V,DKS,,113,,GSC,"""ERR: 0.007, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5145,12.155,,,V,DKS,,113,,GSC,"""ERR: 0.007, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5160,12.137,,,V,DKS,,113,,GSC,"""ERR: 0.007, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5174,12.099,,,V,DKS,,113,,GSC,"""ERR: 0.007, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5188,12.073,,,V,DKS,,113,,GSC,"""ERR: 0.006, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5202,12.042,,,V,DKS,,113,,GSC,"""ERR: 0.006, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5216,12.007,,,V,DKS,,113,,GSC,"""ERR: 0.006, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5230,11.968,,,V,DKS,,113,,GSC,"""ERR: 0.006, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5245,11.924,,,V,DKS,,113,,GSC,"""ERR: 0.006, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5259,11.886,,,V,DKS,,113,,GSC,"""ERR: 0.006, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5273,11.849,,,V,DKS,,113,,GSC,"""ERR: 0.006, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5287,11.804,,,V,DKS,,113,,GSC,"""ERR: 0.006, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5301,11.769,,,V,DKS,,113,,GSC,"""ERR: 0.006, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5315,11.717,,,V,DKS,,113,,GSC,"""ERR: 0.006, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
2453773.5330,11.689,,,V,DKS,,113,,GSC,"""ERR: 0.005, COMP=GSC 2971-0853""",,,Z,,,,TW LYN,,STD,,,,
