JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2453350.5063,11.489,0.034,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5097,11.500,0.039,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5118,11.478,0.041,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5139,11.477,0.028,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5160,11.487,0.034,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5181,11.495,0.030,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5203,11.470,0.045,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5224,11.491,0.029,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5245,11.499,0.028,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5267,11.521,0.035,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5288,11.535,0.039,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5309,11.531,0.044,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5595,11.643,0.038,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5630,11.631,0.031,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5652,11.642,0.037,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5673,11.645,0.041,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5694,11.658,0.022,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5715,11.688,0.031,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5737,11.675,0.036,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5758,11.711,0.047,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5779,11.715,0.030,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5800,11.773,0.033,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5822,11.786,0.046,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5843,11.788,0.030,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5864,11.790,0.047,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5885,11.768,0.047,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5907,11.812,0.036,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5928,11.810,0.046,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5949,11.802,0.039,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5970,11.808,0.027,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.5992,11.799,0.040,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.6013,11.815,0.036,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
2453350.6034,11.798,0.058,,V,MMN,,TYC2 0163.0174.1,TYC2 0163.1102.1,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400E,0,,Z,11.206,11.344,,V535 MON,UAI,STD,,,,
