JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2438364.640,9.805,,,V,SCNA,,NA,,,,1,,Z,,,2438364.645,X ARI,,STD,1,1966ApJ...143..774S,FCHA,
2438364.640,10.384,,,B,SCNA,,NA,,,,1,,Z,,,2438364.645,X ARI,,STD,1,1966ApJ...143..774S,FCHA,
2438364.640,10.456,,,U,SCNA,,NA,,,,1,,Z,,,2438364.645,X ARI,,STD,1,1966ApJ...143..774S,FCHA,
2438364.689,9.851,,,V,SCNA,,NA,,,,1,,Z,,,2438364.694,X ARI,,STD,2,1966ApJ...143..774S,FCHA,
2438364.689,10.418,,,B,SCNA,,NA,,,,1,,Z,,,2438364.694,X ARI,,STD,2,1966ApJ...143..774S,FCHA,
2438364.689,10.472,,,U,SCNA,,NA,,,,1,,Z,,,2438364.694,X ARI,,STD,2,1966ApJ...143..774S,FCHA,
2438364.756,9.809,,,V,SCNA,,NA,,,,1,,Z,,,2438364.761,X ARI,,STD,3,1966ApJ...143..774S,FCHA,
2438364.756,10.352,,,B,SCNA,,NA,,,,1,,Z,,,2438364.761,X ARI,,STD,3,1966ApJ...143..774S,FCHA,
2438364.756,10.383,,,U,SCNA,,NA,,,,1,,Z,,,2438364.761,X ARI,,STD,3,1966ApJ...143..774S,FCHA,
2438364.782,9.866,,,V,SCNA,,NA,,,,1,,Z,,,2438364.787,X ARI,,STD,4,1966ApJ...143..774S,FCHA,
2438364.782,10.412,,,B,SCNA,,NA,,,,1,,Z,,,2438364.787,X ARI,,STD,4,1966ApJ...143..774S,FCHA,
2438364.782,10.506,,,U,SCNA,,NA,,,,1,,Z,,,2438364.787,X ARI,,STD,4,1966ApJ...143..774S,FCHA,
2438367.647,9.413,,,V,SCNA,,NA,,,,1,,Z,,,2438367.652,X ARI,,STD,5,1966ApJ...143..774S,FCHA,
2438367.647,9.862,,,B,SCNA,,NA,,,,1,,Z,,,2438367.652,X ARI,,STD,5,1966ApJ...143..774S,FCHA,
2438367.647,9.996,,,U,SCNA,,NA,,,,1,,Z,,,2438367.652,X ARI,,STD,5,1966ApJ...143..774S,FCHA,
2438367.683,9.505,,,V,SCNA,,NA,,,,1,,Z,,,2438367.688,X ARI,,STD,6,1966ApJ...143..774S,FCHA,
2438367.683,9.97,,,B,SCNA,,NA,,,,1,,Z,,,2438367.688,X ARI,,STD,6,1966ApJ...143..774S,FCHA,
2438367.683,10.086,,,U,SCNA,,NA,,,,1,,Z,,,2438367.688,X ARI,,STD,6,1966ApJ...143..774S,FCHA,
2438367.706,9.552,,,V,SCNA,,NA,,,,1,,Z,,,2438367.711,X ARI,,STD,7,1966ApJ...143..774S,FCHA,
2438367.706,10.035,,,B,SCNA,,NA,,,,1,,Z,,,2438367.711,X ARI,,STD,7,1966ApJ...143..774S,FCHA,
2438367.706,10.104,,,U,SCNA,,NA,,,,1,,Z,,,2438367.711,X ARI,,STD,7,1966ApJ...143..774S,FCHA,
2438367.767,9.668,,,V,SCNA,,NA,,,,1,,Z,,,2438367.772,X ARI,,STD,8,1966ApJ...143..774S,FCHA,
2438367.767,10.208,,,B,SCNA,,NA,,,,1,,Z,,,2438367.772,X ARI,,STD,8,1966ApJ...143..774S,FCHA,
2438367.767,10.295,,,U,SCNA,,NA,,,,1,,Z,,,2438367.772,X ARI,,STD,8,1966ApJ...143..774S,FCHA,
2438367.820,9.744,,,V,SCNA,,NA,,,,1,,Z,,,2438367.825,X ARI,,STD,9,1966ApJ...143..774S,FCHA,
2438367.820,10.318,,,B,SCNA,,NA,,,,1,,Z,,,2438367.825,X ARI,,STD,9,1966ApJ...143..774S,FCHA,
2438367.820,10.385,,,U,SCNA,,NA,,,,1,,Z,,,2438367.825,X ARI,,STD,9,1966ApJ...143..774S,FCHA,
2438376.622,9.053,,,V,SCNA,,NA,,,,1,,Z,,,2438376.627,X ARI,,STD,10,1966ApJ...143..774S,FCHA,
2438376.622,9.358,,,B,SCNA,,NA,,,,1,,Z,,,2438376.627,X ARI,,STD,10,1966ApJ...143..774S,FCHA,
