MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1109017036808, 8.05,0.05,47.12864,10.44556,53652.34344,0
1109017036808,10.31,0.06,47.12883,10.44565,53652.34988,0
1109017036808,13.52,0.05,47.12695,10.44406,54096.22007,0
1109017036808,13.39,0.05,47.12686,10.44418,54050.37960,0
1109017036808,13.04,0.05,47.12688,10.44357,53992.47524,0
1109017036808,13.46,0.05,47.12688,10.44402,54109.16780,0
1109017036808,13.85,0.05,47.12693,10.44334,54403.40577,0
1109017036808,12.84,0.05,47.12666,10.44346,54475.19410,0
1109017036808,12.55,0.05,47.12627,10.44577,55162.17610,0
1109017036808,13.26,0.05,47.12711,10.44364,55260.10836,0
1109017036808,13.30,0.05,47.12689,10.44333,55509.26797,0
1109017036808,13.86,0.05,47.12691,10.44322,55497.34563,0
1109017036808,14.50,0.06,47.12702,10.44314,55861.31418,0
1109017036808,13.11,0.05,47.12688,10.44359,55852.44333,0
1109017036808,13.21,0.05,47.12608,10.44458,55944.15906,0
1109017036808,13.28,0.05,47.12714,10.44360,56188.34729,0
1109017036808,13.20,0.05,47.12614,10.44576,56214.30493,0
1109017036808,13.26,0.05,47.12702,10.44324,56214.32302,0
1109017036808,10.97,0.05,47.12764,10.44581,56226.30201,0
1109017036808,12.54,0.05,47.12608,10.44539,56253.22382,0
1109017036808,13.44,0.05,47.12609,10.44530,56297.21622,0
1109017036808,13.39,0.05,47.12632,10.44393,56308.12720,0
1109017036808,13.08,0.05,47.12618,10.44576,56328.15543,0
